channel_id,product_id,size,forecast_ensemble,category_group
Copenhagen,F58Y8I60TY,XL,6,dress women
Copenhagen,F58Y8I60TY,XS,27,dress women
Copenhagen,F58Y8I60TY,XXS,20,dress women
Copenhagen,UKDVICMCMI,L,8,dress women
Copenhagen,UKDVICMCMI,M,13,dress women
Copenhagen,UKDVICMCMI,S,20,dress women
Copenhagen,UKDVICMCMI,XL,2,dress women
Copenhagen,UKDVICMCMI,XS,26,dress women
Copenhagen,UKDVICMCMI,XXS,12,dress women
Helsinki,0Z6K6Y21KR,L,2,dress women
Helsinki,0Z6K6Y21KR,M,4,dress women
Helsinki,0Z6K6Y21KR,S,11,dress women
Helsinki,0Z6K6Y21KR,XL,4,dress women
Helsinki,0Z6K6Y21KR,XS,12,dress women
Helsinki,0Z6K6Y21KR,XXS,6,dress women
Helsinki,AVGFALJGZU,L,2,dress women
Helsinki,AVGFALJGZU,M,4,dress women
Helsinki,AVGFALJGZU,S,9,dress women
Helsinki,AVGFALJGZU,XL,3,dress women
Helsinki,AVGFALJGZU,XS,17,dress women
Helsinki,AVGFALJGZU,XXS,16,dress women
Helsinki,DVAZLH292T,L,3,dress women
Helsinki,DVAZLH292T,M,9,dress women
Helsinki,DVAZLH292T,S,10,dress women
Helsinki,DVAZLH292T,XL,3,dress women
Helsinki,DVAZLH292T,XS,19,dress women
Helsinki,DVAZLH292T,XXS,6,dress women
Helsinki,F58Y8I60TY,L,1,dress women
Helsinki,F58Y8I60TY,M,9,dress women
Helsinki,F58Y8I60TY,S,15,dress women
Helsinki,F58Y8I60TY,XL,1,dress women
Helsinki,F58Y8I60TY,XS,12,dress women
Helsinki,F58Y8I60TY,XXS,11,dress women
Helsinki,UKDVICMCMI,L,7,dress women
Helsinki,UKDVICMCMI,M,7,dress women
Helsinki,UKDVICMCMI,S,25,dress women
Helsinki,UKDVICMCMI,XL,6,dress women
Helsinki,UKDVICMCMI,XS,15,dress women
Helsinki,UKDVICMCMI,XXS,10,dress women
Madrid,0Z6K6Y21KR,L,1,dress women
Madrid,0Z6K6Y21KR,M,4,dress women
Madrid,0Z6K6Y21KR,S,8,dress women
Madrid,0Z6K6Y21KR,XL,4,dress women
Madrid,0Z6K6Y21KR,XS,11,dress women
Madrid,0Z6K6Y21KR,XXS,7,dress women
Madrid,AVGFALJGZU,L,1,dress women
Madrid,AVGFALJGZU,M,1,dress women
Madrid,AVGFALJGZU,S,6,dress women
Madrid,AVGFALJGZU,XL,1,dress women
Madrid,AVGFALJGZU,XS,14,dress women
Madrid,AVGFALJGZU,XXS,11,dress women
Madrid,DVAZLH292T,L,2,dress women
Madrid,DVAZLH292T,M,4,dress women
Madrid,DVAZLH292T,S,8,dress women
Madrid,DVAZLH292T,XL,1,dress women
Madrid,DVAZLH292T,XS,10,dress women
Madrid,DVAZLH292T,XXS,2,dress women
Madrid,F58Y8I60TY,L,3,dress women
Madrid,F58Y8I60TY,M,6,dress women
Madrid,F58Y8I60TY,S,7,dress women
Madrid,F58Y8I60TY,XL,3,dress women
Madrid,F58Y8I60TY,XS,18,dress women
Madrid,F58Y8I60TY,XXS,5,dress women
Madrid,UKDVICMCMI,L,6,dress women
Madrid,UKDVICMCMI,M,10,dress women
Madrid,UKDVICMCMI,S,11,dress women
Madrid,UKDVICMCMI,XL,2,dress women
Madrid,UKDVICMCMI,XS,11,dress women
Madrid,UKDVICMCMI,XXS,3,dress women
Paris,0Z6K6Y21KR,L,2,dress women
Paris,0Z6K6Y21KR,M,4,dress women
Paris,0Z6K6Y21KR,S,16,dress women
Paris,0Z6K6Y21KR,XL,1,dress women
Paris,0Z6K6Y21KR,XS,15,dress women
Paris,0Z6K6Y21KR,XXS,4,dress women
Paris,AVGFALJGZU,L,3,dress women
Paris,AVGFALJGZU,M,7,dress women
Paris,AVGFALJGZU,S,7,dress women
Paris,AVGFALJGZU,XL,1,dress women
Paris,AVGFALJGZU,XS,9,dress women
Paris,AVGFALJGZU,XXS,7,dress women
Paris,DVAZLH292T,L,4,dress women
Paris,DVAZLH292T,M,5,dress women
Paris,DVAZLH292T,S,11,dress women
Paris,DVAZLH292T,XL,2,dress women
Paris,DVAZLH292T,XS,8,dress women
Paris,DVAZLH292T,XXS,2,dress women
Paris,F58Y8I60TY,L,3,dress women
Paris,F58Y8I60TY,M,1,dress women
Paris,F58Y8I60TY,S,5,dress women
Paris,F58Y8I60TY,XL,0,dress women
Paris,F58Y8I60TY,XS,8,dress women
Paris,F58Y8I60TY,XXS,3,dress women
Paris,UKDVICMCMI,L,5,dress women
Paris,UKDVICMCMI,M,6,dress women
Paris,UKDVICMCMI,S,9,dress women
Paris,UKDVICMCMI,XL,1,dress women
Paris,UKDVICMCMI,XS,10,dress women
