sku_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
BH075SYWYT_S,28,21,35,78,60,29,25,7,9,62,70
BH075SYWYT_XL,7,5,6,11,10,8,4,2,2,11,15
BH075SYWYT_XS,36,27,42,61,44,52,31,15,17,60,99
BH075SYWYT_XXS,17,13,22,40,25,28,27,8,8,32,47
D9J7V1UG3B_L,45,35,56,68,85,56,40,24,18,81,238
D9J7V1UG3B_M,34,52,69,95,114,61,58,24,26,108,214
D9J7V1UG3B_S,22,24,37,50,64,48,27,13,14,59,122
D9J7V1UG3B_XL,13,20,17,28,25,24,20,4,10,24,46
D9J7V1UG3B_XS,10,20,18,25,29,24,12,7,12,34,61
D9J7V1UG3B_XXL,8,11,9,17,24,14,13,6,6,17,41
DVAZLH292T_L,2,4,4,4,5,4,4,2,1,5,11
DVAZLH292T_M,4,5,7,10,10,4,6,4,3,7,10
DVAZLH292T_S,7,7,8,12,10,9,11,3,3,16,27
DVAZLH292T_XL,2,2,2,2,4,2,2,2,2,2,8
DVAZLH292T_XS,5,4,9,13,19,10,8,2,3,8,29
DVAZLH292T_XXS,6,6,12,8,6,9,6,3,3,9,15
DY2XGBW1QT_L,38,49,45,67,65,62,36,16,20,82,153
DY2XGBW1QT_M,36,37,37,58,81,45,47,15,18,109,168
DY2XGBW1QT_S,19,19,20,30,29,25,10,11,7,34,88
DY2XGBW1QT_XL,12,16,13,32,28,17,13,8,7,20,55
DY2XGBW1QT_XS,8,13,13,16,21,18,10,4,5,21,42
DY2XGBW1QT_XXL,9,13,12,15,14,21,12,5,3,24,37
EC1T9WA177_L,14,7,15,20,18,21,12,2,7,23,23
EC1T9WA177_M,10,10,9,27,19,11,9,5,5,15,40
EC1T9WA177_S,6,7,7,9,13,8,6,3,3,11,19
EC1T9WA177_XL,7,11,8,14,25,8,10,7,3,13,19
EC1T9WA177_XS,1,5,2,9,6,3,2,1,1,9,20
EC1T9WA177_XXL,3,3,3,2,6,4,3,1,2,6,14
F58Y8I60TY_L,2,2,4,6,3,3,3,2,2,5,5
F58Y8I60TY_M,3,3,8,11,9,6,6,2,2,7,20
F58Y8I60TY_S,6,8,6,17,15,10,5,4,5,12,18
F58Y8I60TY_XL,2,0,2,6,2,9,2,2,1,2,3
F58Y8I60TY_XS,9,9,9,27,17,19,9,8,7,18,35
