channel_id,product_id,size,forecast_ensemble,category_group
Amsterdam,1S7GY8JV18,L,50,T-shirt men
Amsterdam,1S7GY8JV18,M,39,T-shirt men
Amsterdam,1S7GY8JV18,S,36,T-shirt men
Amsterdam,1S7GY8JV18,XL,22,T-shirt men
Amsterdam,1S7GY8JV18,XS,17,T-shirt men
Amsterdam,1S7GY8JV18,XXL,11,T-shirt men
Amsterdam,20RE1NI7XN,L,29,T-shirt men
Amsterdam,20RE1NI7XN,M,55,T-shirt men
Amsterdam,20RE1NI7XN,S,23,T-shirt men
Amsterdam,20RE1NI7XN,XL,13,T-shirt men
Amsterdam,20RE1NI7XN,XS,15,T-shirt men
Amsterdam,20RE1NI7XN,XXL,9,T-shirt men
Amsterdam,LK5NB8UR9Y,L,27,T-shirt men
Amsterdam,LK5NB8UR9Y,M,46,T-shirt men
Amsterdam,LK5NB8UR9Y,S,44,T-shirt men
Amsterdam,LK5NB8UR9Y,XL,14,T-shirt men
Amsterdam,LK5NB8UR9Y,XS,17,T-shirt men
Amsterdam,LK5NB8UR9Y,XXL,13,T-shirt men
Amsterdam,LVTGQBBF4L,L,35,T-shirt men
Amsterdam,LVTGQBBF4L,M,61,T-shirt men
Amsterdam,LVTGQBBF4L,S,46,T-shirt men
Amsterdam,LVTGQBBF4L,XL,23,T-shirt men
Amsterdam,LVTGQBBF4L,XS,13,T-shirt men
Amsterdam,LVTGQBBF4L,XXL,12,T-shirt men
Amsterdam,QSCW4SWQBC,L,55,T-shirt men
Amsterdam,QSCW4SWQBC,M,67,T-shirt men
Amsterdam,QSCW4SWQBC,S,24,T-shirt men
Amsterdam,QSCW4SWQBC,XL,15,T-shirt men
Amsterdam,QSCW4SWQBC,XS,16,T-shirt men
Amsterdam,QSCW4SWQBC,XXL,10,T-shirt men
Berlin,1S7GY8JV18,L,34,T-shirt men
Berlin,1S7GY8JV18,M,78,T-shirt men
Berlin,1S7GY8JV18,S,34,T-shirt men
Berlin,1S7GY8JV18,XL,16,T-shirt men
Berlin,1S7GY8JV18,XS,19,T-shirt men
Berlin,1S7GY8JV18,XXL,10,T-shirt men
Berlin,20RE1NI7XN,L,42,T-shirt men
Berlin,20RE1NI7XN,M,50,T-shirt men
Berlin,20RE1NI7XN,S,32,T-shirt men
Berlin,20RE1NI7XN,XL,13,T-shirt men
Berlin,20RE1NI7XN,XS,11,T-shirt men
Berlin,20RE1NI7XN,XXL,10,T-shirt men
Berlin,LK5NB8UR9Y,L,17,T-shirt men
Berlin,LK5NB8UR9Y,M,71,T-shirt men
Berlin,LK5NB8UR9Y,S,22,T-shirt men
Berlin,LK5NB8UR9Y,XL,17,T-shirt men
Berlin,LK5NB8UR9Y,XS,12,T-shirt men
Berlin,LK5NB8UR9Y,XXL,11,T-shirt men
Berlin,LVTGQBBF4L,L,73,T-shirt men
Berlin,LVTGQBBF4L,M,97,T-shirt men
Berlin,LVTGQBBF4L,S,33,T-shirt men
Berlin,LVTGQBBF4L,XL,41,T-shirt men
Berlin,LVTGQBBF4L,XS,13,T-shirt men
Berlin,LVTGQBBF4L,XXL,8,T-shirt men
Berlin,QSCW4SWQBC,L,77,T-shirt men
Berlin,QSCW4SWQBC,M,60,T-shirt men
Berlin,QSCW4SWQBC,S,25,T-shirt men
Berlin,QSCW4SWQBC,XL,27,T-shirt men
Berlin,QSCW4SWQBC,XS,19,T-shirt men
Berlin,QSCW4SWQBC,XXL,6,T-shirt men
Brussels,1S7GY8JV18,L,67,T-shirt men
Brussels,1S7GY8JV18,M,129,T-shirt men
Brussels,1S7GY8JV18,S,47,T-shirt men
Brussels,1S7GY8JV18,XL,28,T-shirt men
Brussels,1S7GY8JV18,XS,48,T-shirt men
Brussels,1S7GY8JV18,XXL,25,T-shirt men
Brussels,20RE1NI7XN,L,82,T-shirt men
Brussels,20RE1NI7XN,M,76,T-shirt men
Brussels,20RE1NI7XN,S,36,T-shirt men
Brussels,20RE1NI7XN,XL,35,T-shirt men
Brussels,20RE1NI7XN,XS,35,T-shirt men
Brussels,20RE1NI7XN,XXL,22,T-shirt men
Brussels,LK5NB8UR9Y,L,44,T-shirt men
Brussels,LK5NB8UR9Y,M,44,T-shirt men
Brussels,LK5NB8UR9Y,S,55,T-shirt men
Brussels,LK5NB8UR9Y,XL,24,T-shirt men
Brussels,LK5NB8UR9Y,XS,26,T-shirt men
Brussels,LK5NB8UR9Y,XXL,15,T-shirt men
