channel_id,product_id,size,forecast_ensemble,category_group
Copenhagen,PQ8JXR05Z9,S,29,shirt men
Copenhagen,PQ8JXR05Z9,XL,15,shirt men
Copenhagen,PQ8JXR05Z9,XS,18,shirt men
Copenhagen,PQ8JXR05Z9,XXL,15,shirt men
Copenhagen,Q1NB6EV307,L,27,shirt men
Copenhagen,Q1NB6EV307,M,35,shirt men
Copenhagen,Q1NB6EV307,S,13,shirt men
Copenhagen,Q1NB6EV307,XL,23,shirt men
Copenhagen,Q1NB6EV307,XS,9,shirt men
Copenhagen,Q1NB6EV307,XXL,9,shirt men
Copenhagen,ZOFDKNLVEN,L,72,shirt men
Copenhagen,ZOFDKNLVEN,M,99,shirt men
Copenhagen,ZOFDKNLVEN,S,43,shirt men
Copenhagen,ZOFDKNLVEN,XL,25,shirt men
Copenhagen,ZOFDKNLVEN,XS,26,shirt men
Copenhagen,ZOFDKNLVEN,XXL,14,shirt men
Helsinki,29NEO5JDJT,L,53,shirt men
Helsinki,29NEO5JDJT,M,71,shirt men
Helsinki,29NEO5JDJT,S,51,shirt men
Helsinki,29NEO5JDJT,XL,31,shirt men
Helsinki,29NEO5JDJT,XS,10,shirt men
Helsinki,29NEO5JDJT,XXL,13,shirt men
Helsinki,83N1Y7P1Q5,L,58,shirt men
Helsinki,83N1Y7P1Q5,M,35,shirt men
Helsinki,83N1Y7P1Q5,S,18,shirt men
Helsinki,83N1Y7P1Q5,XL,29,shirt men
Helsinki,83N1Y7P1Q5,XS,6,shirt men
Helsinki,83N1Y7P1Q5,XXL,16,shirt men
Helsinki,PQ8JXR05Z9,L,31,shirt men
Helsinki,PQ8JXR05Z9,M,49,shirt men
Helsinki,PQ8JXR05Z9,S,33,shirt men
Helsinki,PQ8JXR05Z9,XL,14,shirt men
Helsinki,PQ8JXR05Z9,XS,11,shirt men
Helsinki,PQ8JXR05Z9,XXL,10,shirt men
Helsinki,Q1NB6EV307,L,46,shirt men
Helsinki,Q1NB6EV307,M,23,shirt men
Helsinki,Q1NB6EV307,S,18,shirt men
Helsinki,Q1NB6EV307,XL,20,shirt men
Helsinki,Q1NB6EV307,XS,4,shirt men
Helsinki,Q1NB6EV307,XXL,14,shirt men
Helsinki,ZOFDKNLVEN,L,59,shirt men
Helsinki,ZOFDKNLVEN,M,83,shirt men
Helsinki,ZOFDKNLVEN,S,58,shirt men
Helsinki,ZOFDKNLVEN,XL,29,shirt men
Helsinki,ZOFDKNLVEN,XS,21,shirt men
Helsinki,ZOFDKNLVEN,XXL,15,shirt men
Madrid,29NEO5JDJT,L,33,shirt men
Madrid,29NEO5JDJT,M,63,shirt men
Madrid,29NEO5JDJT,S,30,shirt men
Madrid,29NEO5JDJT,XL,11,shirt men
Madrid,29NEO5JDJT,XS,11,shirt men
Madrid,29NEO5JDJT,XXL,10,shirt men
Madrid,83N1Y7P1Q5,L,47,shirt men
Madrid,83N1Y7P1Q5,M,27,shirt men
Madrid,83N1Y7P1Q5,S,13,shirt men
Madrid,83N1Y7P1Q5,XL,27,shirt men
Madrid,83N1Y7P1Q5,XS,5,shirt men
Madrid,83N1Y7P1Q5,XXL,8,shirt men
Madrid,PQ8JXR05Z9,L,17,shirt men
Madrid,PQ8JXR05Z9,M,25,shirt men
Madrid,PQ8JXR05Z9,S,19,shirt men
Madrid,PQ8JXR05Z9,XL,11,shirt men
Madrid,PQ8JXR05Z9,XS,8,shirt men
Madrid,PQ8JXR05Z9,XXL,4,shirt men
Madrid,Q1NB6EV307,L,15,shirt men
Madrid,Q1NB6EV307,M,20,shirt men
Madrid,Q1NB6EV307,S,13,shirt men
Madrid,Q1NB6EV307,XL,19,shirt men
Madrid,Q1NB6EV307,XS,7,shirt men
Madrid,Q1NB6EV307,XXL,8,shirt men
Madrid,ZOFDKNLVEN,L,48,shirt men
Madrid,ZOFDKNLVEN,M,45,shirt men
Madrid,ZOFDKNLVEN,S,34,shirt men
Madrid,ZOFDKNLVEN,XL,13,shirt men
Madrid,ZOFDKNLVEN,XS,11,shirt men
Madrid,ZOFDKNLVEN,XXL,10,shirt men
Paris,29NEO5JDJT,L,20,shirt men
Paris,29NEO5JDJT,M,41,shirt men
Paris,29NEO5JDJT,S,28,shirt men
Paris,29NEO5JDJT,XL,15,shirt men
Paris,29NEO5JDJT,XS,9,shirt men
Paris,29NEO5JDJT,XXL,10,shirt men
Paris,83N1Y7P1Q5,L,42,shirt men
Paris,83N1Y7P1Q5,M,13,shirt men
Paris,83N1Y7P1Q5,S,11,shirt men
Paris,83N1Y7P1Q5,XL,13,shirt men
Paris,83N1Y7P1Q5,XS,7,shirt men
Paris,83N1Y7P1Q5,XXL,11,shirt men
Paris,PQ8JXR05Z9,L,18,shirt men
Paris,PQ8JXR05Z9,M,16,shirt men
Paris,PQ8JXR05Z9,S,20,shirt men
Paris,PQ8JXR05Z9,XL,9,shirt men
Paris,PQ8JXR05Z9,XS,4,shirt men
Paris,PQ8JXR05Z9,XXL,8,shirt men
Paris,Q1NB6EV307,L,18,shirt men
Paris,Q1NB6EV307,M,16,shirt men
Paris,Q1NB6EV307,S,8,shirt men
Paris,Q1NB6EV307,XL,11,shirt men
Paris,Q1NB6EV307,XS,2,shirt men
Paris,Q1NB6EV307,XXL,4,shirt men
Paris,ZOFDKNLVEN,L,30,shirt men
Paris,ZOFDKNLVEN,M,24,shirt men
Paris,ZOFDKNLVEN,S,32,shirt men
Paris,ZOFDKNLVEN,XL,13,shirt men
Paris,ZOFDKNLVEN,XS,14,shirt men
Paris,ZOFDKNLVEN,XXL,3,shirt men
Platform,29NEO5JDJT,L,12,shirt men
Platform,29NEO5JDJT,M,14,shirt men
Platform,29NEO5JDJT,S,4,shirt men
Platform,29NEO5JDJT,XL,7,shirt men
Platform,29NEO5JDJT,XS,3,shirt men
Platform,29NEO5JDJT,XXL,5,shirt men
Platform,83N1Y7P1Q5,L,10,shirt men
Platform,83N1Y7P1Q5,M,6,shirt men
Platform,83N1Y7P1Q5,S,7,shirt men
Platform,83N1Y7P1Q5,XL,4,shirt men
Platform,83N1Y7P1Q5,XS,2,shirt men
Platform,83N1Y7P1Q5,XXL,1,shirt men
Platform,PQ8JXR05Z9,L,8,shirt men
Platform,PQ8JXR05Z9,M,7,shirt men
Platform,PQ8JXR05Z9,S,6,shirt men
Platform,PQ8JXR05Z9,XL,3,shirt men
Platform,PQ8JXR05Z9,XS,1,shirt men
Platform,PQ8JXR05Z9,XXL,2,shirt men
Platform,Q1NB6EV307,L,10,shirt men
Platform,Q1NB6EV307,M,4,shirt men
Platform,Q1NB6EV307,S,3,shirt men
Platform,Q1NB6EV307,XL,5,shirt men
Platform,Q1NB6EV307,XS,4,shirt men
Platform,Q1NB6EV307,XXL,1,shirt men
Platform,ZOFDKNLVEN,L,7,shirt men
Platform,ZOFDKNLVEN,M,16,shirt men
Platform,ZOFDKNLVEN,S,8,shirt men
Platform,ZOFDKNLVEN,XL,3,shirt men
Platform,ZOFDKNLVEN,XS,5,shirt men
Platform,ZOFDKNLVEN,XXL,3,shirt men
Rome,29NEO5JDJT,L,15,shirt men
Rome,29NEO5JDJT,M,21,shirt men
Rome,29NEO5JDJT,S,11,shirt men
Rome,29NEO5JDJT,XL,4,shirt men
Rome,29NEO5JDJT,XS,13,shirt men
Rome,29NEO5JDJT,XXL,5,shirt men
Rome,83N1Y7P1Q5,L,14,shirt men
Rome,83N1Y7P1Q5,M,11,shirt men
Rome,83N1Y7P1Q5,S,6,shirt men
Rome,83N1Y7P1Q5,XL,8,shirt men
Rome,83N1Y7P1Q5,XS,2,shirt men
Rome,83N1Y7P1Q5,XXL,3,shirt men
Rome,PQ8JXR05Z9,L,7,shirt men
Rome,PQ8JXR05Z9,M,9,shirt men
Rome,PQ8JXR05Z9,S,9,shirt men
Rome,PQ8JXR05Z9,XL,7,shirt men
Rome,PQ8JXR05Z9,XS,2,shirt men
Rome,PQ8JXR05Z9,XXL,4,shirt men
Rome,Q1NB6EV307,L,7,shirt men
Rome,Q1NB6EV307,M,5,shirt men
Rome,Q1NB6EV307,S,3,shirt men
Rome,Q1NB6EV307,XL,5,shirt men
Rome,Q1NB6EV307,XS,1,shirt men
Rome,Q1NB6EV307,XXL,2,shirt men
Rome,ZOFDKNLVEN,L,16,shirt men
Rome,ZOFDKNLVEN,M,22,shirt men
Rome,ZOFDKNLVEN,S,10,shirt men
Rome,ZOFDKNLVEN,XL,9,shirt men
Rome,ZOFDKNLVEN,XS,7,shirt men
Rome,ZOFDKNLVEN,XXL,3,shirt men
Stockholm,29NEO5JDJT,L,45,shirt men
Stockholm,29NEO5JDJT,M,65,shirt men
Stockholm,29NEO5JDJT,S,20,shirt men
Stockholm,29NEO5JDJT,XL,22,shirt men
Stockholm,29NEO5JDJT,XS,21,shirt men
Stockholm,29NEO5JDJT,XXL,22,shirt men
Stockholm,83N1Y7P1Q5,L,46,shirt men
Stockholm,83N1Y7P1Q5,M,45,shirt men
Stockholm,83N1Y7P1Q5,S,16,shirt men
Stockholm,83N1Y7P1Q5,XL,48,shirt men
Stockholm,83N1Y7P1Q5,XS,8,shirt men
Stockholm,83N1Y7P1Q5,XXL,15,shirt men
Stockholm,PQ8JXR05Z9,L,15,shirt men
Stockholm,PQ8JXR05Z9,M,19,shirt men
Stockholm,PQ8JXR05Z9,S,20,shirt men
Stockholm,PQ8JXR05Z9,XL,10,shirt men
Stockholm,PQ8JXR05Z9,XS,8,shirt men
Stockholm,PQ8JXR05Z9,XXL,5,shirt men
Stockholm,Q1NB6EV307,L,49,shirt men
Stockholm,Q1NB6EV307,M,15,shirt men
Stockholm,Q1NB6EV307,S,17,shirt men
Stockholm,Q1NB6EV307,XL,21,shirt men
Stockholm,Q1NB6EV307,XS,7,shirt men
Stockholm,Q1NB6EV307,XXL,11,shirt men
Stockholm,ZOFDKNLVEN,L,53,shirt men
Stockholm,ZOFDKNLVEN,M,43,shirt men
Stockholm,ZOFDKNLVEN,S,31,shirt men
Stockholm,ZOFDKNLVEN,XL,29,shirt men
Stockholm,ZOFDKNLVEN,XS,25,shirt men
Stockholm,ZOFDKNLVEN,XXL,16,shirt men
Webshop,29NEO5JDJT,L,134,shirt men
Webshop,29NEO5JDJT,M,132,shirt men
Webshop,29NEO5JDJT,S,80,shirt men
Webshop,29NEO5JDJT,XL,61,shirt men
Webshop,29NEO5JDJT,XS,55,shirt men
Webshop,29NEO5JDJT,XXL,30,shirt men
Webshop,83N1Y7P1Q5,L,95,shirt men
Webshop,83N1Y7P1Q5,M,68,shirt men
Webshop,83N1Y7P1Q5,S,39,shirt men
Webshop,83N1Y7P1Q5,XL,62,shirt men
Webshop,83N1Y7P1Q5,XS,18,shirt men
Webshop,83N1Y7P1Q5,XXL,16,shirt men
Webshop,PQ8JXR05Z9,L,65,shirt men
Webshop,PQ8JXR05Z9,M,99,shirt men
Webshop,PQ8JXR05Z9,S,57,shirt men
Webshop,PQ8JXR05Z9,XL,18,shirt men
Webshop,PQ8JXR05Z9,XS,33,shirt men
Webshop,PQ8JXR05Z9,XXL,22,shirt men
Webshop,Q1NB6EV307,L,69,shirt men
Webshop,Q1NB6EV307,M,88,shirt men
Webshop,Q1NB6EV307,S,36,shirt men
Webshop,Q1NB6EV307,XL,50,shirt men
Webshop,Q1NB6EV307,XS,17,shirt men
Webshop,Q1NB6EV307,XXL,21,shirt men
Webshop,ZOFDKNLVEN,L,164,shirt men
Webshop,ZOFDKNLVEN,M,95,shirt men
Webshop,ZOFDKNLVEN,S,112,shirt men
Webshop,ZOFDKNLVEN,XL,48,shirt men
Webshop,ZOFDKNLVEN,XS,43,shirt men
Webshop,ZOFDKNLVEN,XXL,25,shirt men
