channel_id,product_id,size,forecast_ensemble,category_group
Copenhagen,MI29EELZW7,L,5,hoodie women
Copenhagen,MI29EELZW7,M,6,hoodie women
Copenhagen,MI29EELZW7,S,21,hoodie women
Copenhagen,MI29EELZW7,XL,2,hoodie women
Copenhagen,MI29EELZW7,XS,21,hoodie women
Copenhagen,MI29EELZW7,XXS,18,hoodie women
Copenhagen,TU089AL40Z,L,4,hoodie women
Copenhagen,TU089AL40Z,M,14,hoodie women
Copenhagen,TU089AL40Z,S,15,hoodie women
Copenhagen,TU089AL40Z,XL,3,hoodie women
Copenhagen,TU089AL40Z,XS,17,hoodie women
Copenhagen,TU089AL40Z,XXS,11,hoodie women
Copenhagen,V11O1XZ2MQ,L,2,hoodie women
Copenhagen,V11O1XZ2MQ,M,4,hoodie women
Copenhagen,V11O1XZ2MQ,S,13,hoodie women
Copenhagen,V11O1XZ2MQ,XL,2,hoodie women
Copenhagen,V11O1XZ2MQ,XS,12,hoodie women
Copenhagen,V11O1XZ2MQ,XXS,9,hoodie women
Helsinki,8WVHOXLVJ2,L,4,hoodie women
Helsinki,8WVHOXLVJ2,M,11,hoodie women
Helsinki,8WVHOXLVJ2,S,33,hoodie women
Helsinki,8WVHOXLVJ2,XL,7,hoodie women
Helsinki,8WVHOXLVJ2,XS,26,hoodie women
Helsinki,8WVHOXLVJ2,XXS,14,hoodie women
Helsinki,B8OG8GFQDG,L,4,hoodie women
Helsinki,B8OG8GFQDG,M,4,hoodie women
Helsinki,B8OG8GFQDG,S,15,hoodie women
Helsinki,B8OG8GFQDG,XL,3,hoodie women
Helsinki,B8OG8GFQDG,XS,20,hoodie women
Helsinki,B8OG8GFQDG,XXS,15,hoodie women
Helsinki,MI29EELZW7,L,4,hoodie women
Helsinki,MI29EELZW7,M,5,hoodie women
Helsinki,MI29EELZW7,S,13,hoodie women
Helsinki,MI29EELZW7,XL,5,hoodie women
Helsinki,MI29EELZW7,XS,17,hoodie women
Helsinki,MI29EELZW7,XXS,5,hoodie women
Helsinki,TU089AL40Z,L,7,hoodie women
Helsinki,TU089AL40Z,M,15,hoodie women
Helsinki,TU089AL40Z,S,16,hoodie women
Helsinki,TU089AL40Z,XL,2,hoodie women
Helsinki,TU089AL40Z,XS,9,hoodie women
Helsinki,TU089AL40Z,XXS,10,hoodie women
Helsinki,V11O1XZ2MQ,L,6,hoodie women
Helsinki,V11O1XZ2MQ,M,7,hoodie women
Helsinki,V11O1XZ2MQ,S,16,hoodie women
Helsinki,V11O1XZ2MQ,XL,2,hoodie women
Helsinki,V11O1XZ2MQ,XS,12,hoodie women
Helsinki,V11O1XZ2MQ,XXS,10,hoodie women
Madrid,8WVHOXLVJ2,L,1,hoodie women
Madrid,8WVHOXLVJ2,M,4,hoodie women
Madrid,8WVHOXLVJ2,S,17,hoodie women
Madrid,8WVHOXLVJ2,XL,3,hoodie women
Madrid,8WVHOXLVJ2,XS,13,hoodie women
Madrid,8WVHOXLVJ2,XXS,9,hoodie women
Madrid,B8OG8GFQDG,L,3,hoodie women
Madrid,B8OG8GFQDG,M,5,hoodie women
Madrid,B8OG8GFQDG,S,5,hoodie women
Madrid,B8OG8GFQDG,XL,0,hoodie women
