channel_id,forecast_MA,forecast_SES,forecast_Holt,forecast_LinReg,forecast_ensemble
Amsterdam,35,38,39,42,38
Berlin,36,39,41,41,39
Brussels,59,58,61,69,62
Copenhagen,75,75,77,83,77
Helsinki,82,83,95,76,83
Madrid,62,66,87,69,70
Paris,54,51,60,59,56
Platform,18,15,15,14,15
Rome,27,26,30,29,28
Stockholm,84,82,85,86,84
Webshop,192,182,185,204,191
