pack_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
P126,4,4,6,7,7,5,3,1,1,7,9
P127,0,2,0,2,10,0,11,0,0,0,15
P128,0,0,0,3,1,0,1,0,1,3,3
P129,0,2,1,0,0,0,0,0,1,2,1
P130,1,1,0,0,0,0,0,0,0,2,0
P131,1,1,0,3,1,2,0,1,1,1,2
P132,2,2,3,5,6,4,4,0,2,4,14
P133,1,0,1,2,4,3,1,0,0,2,7
P134,0,0,0,0,2,1,0,0,3,3,6
P135,0,2,2,1,4,0,0,1,0,0,4
P136,0,2,0,0,0,0,0,0,1,2,0
P137,1,0,0,0,3,2,0,0,0,0,2
P138,1,2,2,1,3,3,3,2,1,3,5
P139,5,2,2,3,0,1,0,0,0,3,8
P140,0,1,0,1,3,0,1,1,0,0,0
P141,1,0,2,0,2,1,0,0,0,1,0
P142,0,0,0,2,0,0,1,1,0,0,0
P143,1,3,1,3,4,0,1,0,0,0,0
P144,0,0,0,0,0,1,0,0,0,1,0
P145,0,0,0,0,0,1,5,0,0,0,0
P146,1,4,8,11,0,0,0,0,2,4,4
P147,1,0,0,2,1,0,2,0,0,3,4
P148,1,0,1,1,0,0,0,0,0,0,0
P149,0,1,2,1,5,1,4,1,0,8,10
P150,1,0,2,2,3,1,1,0,1,0,3
P151,1,0,3,0,3,0,1,0,0,0,5
P152,0,0,1,1,5,0,0,0,0,3,3
P153,7,5,5,4,10,8,5,3,2,8,21
P154,1,5,2,9,6,4,3,1,1,9,20
P155,0,0,0,0,2,2,0,0,0,4,1
P156,0,1,1,1,2,1,1,0,0,2,3
P157,1,0,2,1,0,0,0,0,1,0,1
P158,6,11,8,12,11,11,7,3,4,15,30
P159,6,1,4,4,3,5,3,2,1,4,9
P160,0,0,2,5,0,0,0,2,2,0,0
P161,0,0,0,0,1,0,0,1,0,0,0
P162,0,0,0,11,0,0,0,0,1,0,0
P163,1,1,0,1,1,1,0,0,1,3,4
P164,0,0,0,0,0,0,0,0,1,0,0
P165,0,0,0,0,0,0,0,0,1,0,0
P166,1,2,0,1,0,0,1,1,1,1,1
P167,2,1,1,1,3,1,1,0,0,1,2
P168,3,0,5,6,1,3,0,0,5,2,4
P169,0,1,0,0,0,2,0,0,0,0,0
P170,0,0,0,1,0,0,0,0,0,0,1
P171,0,0,0,0,0,0,0,0,0,0,7
P172,0,0,0,0,1,0,0,0,0,0,0
P173,0,1,3,2,6,4,1,0,0,4,4
P174,1,2,0,2,3,1,0,0,0,1,4
P175,0,1,0,3,1,0,0,0,1,0,3
P176,1,0,0,2,0,2,1,1,0,2,0
P177,0,1,0,0,0,0,1,0,1,0,0
P178,1,1,1,1,1,0,2,0,1,2,2
P179,3,1,0,2,4,2,2,0,0,4,2
P180,3,4,8,5,8,6,7,2,1,9,17
P181,5,4,5,9,11,8,11,3,5,9,18
P182,0,0,0,0,3,0,0,0,2,0,0
P183,3,0,0,0,0,0,1,1,0,4,0
P184,1,0,5,0,2,0,0,1,0,0,3
P185,3,2,1,1,8,2,2,0,0,7,2
P186,0,1,0,0,0,0,0,0,0,0,1
P187,0,2,0,0,1,0,0,0,2,0,0
P188,2,2,0,4,4,0,0,0,1,2,7
P189,0,0,0,2,2,0,2,1,1,0,5
P190,1,0,0,0,1,1,0,0,0,0,0
P191,1,0,0,2,6,1,0,0,1,1,11
P192,1,1,0,2,2,2,1,1,0,1,3
P193,1,0,1,0,0,0,0,0,0,0,0
P194,1,1,1,1,0,0,0,0,0,1,2
P195,2,2,1,1,3,3,2,1,2,4,10
P196,0,2,0,3,4,0,2,0,0,3,0
P197,5,0,7,5,10,5,4,0,2,6,9
P198,0,0,0,1,1,0,0,0,0,0,0
P199,0,3,2,2,5,1,1,0,0,1,2
P200,0,1,0,2,0,0,0,0,0,0,1
P201,0,0,1,0,0,0,0,0,0,0,0
P202,0,0,0,0,0,2,0,1,0,0,2
P203,0,0,0,2,0,0,2,0,1,1,0
P204,2,1,0,1,0,2,2,0,0,0,1
P205,1,2,2,2,3,2,3,1,0,2,4
P206,0,8,0,2,2,2,0,1,0,4,0
P207,0,0,4,0,1,0,0,0,0,1,0
P208,0,1,1,1,1,0,0,0,0,5,0
P209,1,0,1,1,0,0,0,0,0,2,0
P210,0,0,0,0,2,0,0,0,2,0,2
P211,0,1,0,0,0,0,1,0,0,1,4
P212,1,0,1,1,4,1,0,1,0,1,0
P213,0,1,0,0,0,0,0,1,1,1,0
P214,1,1,0,0,0,0,1,0,1,0,0
P215,1,3,3,4,3,4,1,0,0,2,6
P216,0,0,0,1,0,0,0,0,0,2,3
P217,2,0,2,12,5,0,1,0,0,4,4
P218,1,0,0,0,1,0,0,1,0,4,1
P219,0,0,0,2,0,0,0,0,0,2,0
P220,0,0,2,2,2,0,1,0,0,1,5
P221,0,0,0,0,2,0,0,1,0,0,1
P222,0,0,1,0,0,0,1,0,0,0,1
P223,1,0,1,0,0,1,0,0,0,0,0
P224,0,1,0,3,0,1,2,1,0,2,3
P225,0,0,1,0,1,0,1,1,0,0,0
P226,0,0,4,7,4,2,2,1,0,2,10
P227,0,0,0,0,0,0,0,0,1,0,0
P228,0,2,0,0,3,0,1,1,1,8,1
P229,8,9,15,27,24,13,10,3,4,22,40
P230,0,0,0,0,0,0,1,0,0,0,3
P231,0,0,0,1,1,0,0,0,0,1,0
P232,1,0,0,0,2,0,2,0,0,0,0
P233,0,1,1,0,2,1,2,0,0,1,4
P234,1,1,1,2,0,0,1,0,2,1,1
P235,0,0,1,0,0,0,2,0,0,1,4
P236,1,2,3,4,6,1,1,1,1,1,3
P237,0,0,0,1,0,1,0,0,0,0,0
P238,1,0,0,0,0,1,0,0,0,0,0
P239,0,0,0,3,4,1,1,0,0,1,5
P240,0,1,2,2,4,5,6,0,0,14,2
P241,1,0,2,1,4,3,3,0,1,7,0
P242,0,0,1,0,0,0,0,0,2,1,0
P243,0,0,0,3,0,0,0,0,0,0,3
P244,1,0,1,2,1,1,0,0,0,1,1
P245,0,0,0,0,0,3,0,0,0,0,0
P246,0,0,1,0,0,0,0,0,0,0,3
P247,0,0,0,0,0,0,0,0,0,0,5
P248,0,0,1,1,2,0,1,0,0,1,0
P249,0,0,0,0,0,0,2,0,0,0,0
P250,0,2,0,0,0,0,0,0,0,0,0
P251,1,1,1,0,2,0,1,0,1,1,2
P252,0,0,2,1,4,1,0,0,0,0,3
P253,0,0,0,0,2,0,0,0,0,1,3
P254,0,0,0,2,0,0,0,0,1,2,5
P255,0,0,0,0,0,0,2,0,0,2,2
P256,1,2,4,0,1,3,2,1,0,3,5
P257,1,1,0,2,1,4,0,1,1,6,9
P258,3,2,1,4,3,3,2,0,1,5,6
P259,1,2,8,2,10,5,0,1,1,2,8
P260,4,3,5,5,6,5,2,1,1,11,6
P261,1,0,0,0,0,1,1,2,0,0,0
P262,7,10,16,18,33,19,9,5,7,27,48
P263,2,2,3,9,3,3,5,1,3,5,15
P264,2,3,1,3,2,3,3,0,2,5,7
P265,0,0,1,3,4,2,2,0,1,1,2
P266,1,0,0,0,2,1,0,1,0,0,4
P267,0,0,5,3,1,1,0,0,1,5,0
P268,0,1,0,3,3,1,1,0,2,0,7
P269,1,1,0,0,0,1,0,0,0,0,0
P270,2,1,4,4,3,6,4,1,0,4,16
P271,1,2,3,5,1,0,0,0,0,4,0
P272,1,3,1,2,1,2,0,0,0,3,1
P273,0,0,0,2,0,0,1,0,0,1,1
P274,0,0,0,5,0,0,0,0,0,0,0
P275,1,0,2,2,2,5,1,1,0,2,6
P276,0,0,3,0,0,0,0,0,0,0,0
P277,1,0,3,1,0,0,0,0,0,0,0
P278,1,0,0,0,0,1,0,0,1,0,0
P279,1,1,1,1,2,1,2,1,1,1,4
P280,0,0,4,0,3,0,0,0,1,3,14
P281,0,0,0,1,1,2,2,0,1,0,0
P282,0,1,2,0,0,0,0,0,0,0,3
P283,0,2,1,7,2,6,0,0,0,6,4
P284,1,1,0,1,0,0,0,0,1,0,0
P285,0,0,0,1,0,1,0,0,0,1,0
P286,0,4,0,2,5,1,0,1,1,2,3
P287,2,1,1,0,0,0,2,2,0,3,0
P288,5,3,4,3,0,1,3,1,1,5,5
P289,0,3,0,0,0,1,0,0,1,0,9
P290,2,0,1,2,2,1,1,1,1,2,2
P291,0,0,1,0,1,0,0,0,1,0,0
P292,0,4,1,2,4,3,1,0,0,4,4
P293,1,0,1,2,3,0,0,1,0,1,3
P294,0,0,1,0,0,0,0,0,0,0,0
P295,0,0,0,1,0,0,0,1,0,1,0
P296,0,0,0,0,0,0,0,0,0,0,8
P297,0,1,0,1,1,0,0,0,0,0,2
P298,1,0,0,0,1,3,0,0,1,0,4
P299,7,1,2,6,10,2,3,1,1,10,30
P300,4,1,2,6,0,2,1,2,1,1,0
P301,0,1,0,2,1,1,0,1,1,0,0
P302,0,0,0,0,1,1,0,0,0,0,3
P303,0,2,3,2,2,2,1,1,3,9,12
P304,0,0,0,0,0,0,1,2,0,0,0
