restart,iteration,operator,current_cost,restart_best_cost,global_best_cost,temperature,pack_types_current,pack_types_best,shortage_units_best,overstock_units_best,elapsed_seconds
1,21000,reallocate,285983,285983,285983,0.13739,600,600,0,21312,363.913
1,21250,reallocate,285829,285829,285829,0.121242,600,600,0,21279,368.165
1,21500,reallocate,285598,285598,285598,0.106993,600,600,0,21269,372.487
1,21750,reallocate,285214,285214,285214,0.0944177,600,600,0,21213,376.984
1,22000,reallocate,284990,284990,284990,0.0833208,600,600,0,21193,381.194
1,22250,reallocate,284563,284563,284563,0.073528,600,600,0,21166,385.409
1,22500,reallocate,284379,284379,284379,0.0648862,600,600,0,21145,389.692
1,22750,reallocate,283950,283950,283950,0.0572601,600,600,0,21090,393.848
1,23000,reallocate,283500,283500,283500,0.0505303,600,600,0,21044,397.833
1,23250,reallocate,283135,283135,283135,0.0445914,600,600,0,21000,401.941
1,23500,reallocate,282934,282934,282934,0.0393506,600,600,0,20982,406.251
1,23750,reallocate,282657,282657,282657,0.0347257,600,600,0,20971,410.618
1,24000,reallocate,282405,282405,282405,0.0306443,600,600,0,20982,415.025
1,24250,reallocate,282161,282161,282161,0.0270427,600,600,0,20980,419.247
1,24500,reallocate,281953,281953,281953,0.0238643,600,600,0,20939,423.555
1,24750,reallocate,281690,281690,281690,0.0210595,600,600,0,20875,427.577
1,25000,reallocate,281354,281354,281354,0.0185844,600,600,0,20845,431.845
1,25250,reallocate,281202,281202,281202,0.0164002,600,600,0,20820,436.039
1,25500,reallocate,281027,281027,281027,0.0144726,600,600,0,20796,440.33
1,25750,reallocate,280855,280855,280855,0.0127717,600,600,0,20794,444.58
1,26000,reallocate,280566,280566,280566,0.0112706,600,600,0,20750,448.709
1,26250,reallocate,280329,280329,280329,0.00994596,600,600,0,20718,452.877
1,26500,reallocate,279870,279870,279870,0.008777,600,600,0,20715,457.072
1,26750,reallocate,279695,279695,279695,0.00774544,600,600,0,20697,461.245
1,27000,reallocate,279191,279191,279191,0.00683511,600,600,0,20663,465.401
1,27250,reallocate,278911,278911,278911,0.00603177,600,600,0,20638,469.749
1,27500,reallocate,278497,278497,278497,0.00532286,600,600,0,20592,473.98
1,27750,reallocate,278380,278380,278380,0.00469726,600,600,0,20580,478.002
