restart,iteration,operator,current_cost,restart_best_cost,global_best_cost,temperature,pack_types_current,pack_types_best,shortage_units_best,overstock_units_best,elapsed_seconds
4,4000,reallocate,351591,350805,324738,676.676,1208,1177,603,8871,316.165
4,4250,mutate_pack_content,345491,344531,321861,597.146,1258,1238,561,8571,340.751
4,4500,mutate_pack_content,333730,333730,320726,526.963,1302,1302,529,9165,367.751
4,4750,remove_pack,331495,331495,317328,465.029,1336,1336,485,9056,395.573
4,5000,remove_pack,330045,328595,314448,410.374,1362,1349,497,8808,417.043
5,1,add_curve_pack,741370,741370,720474,5000,491,491,3624,361,0.427868
5,250,merge_packs,667750,665005,645783,4414.55,528,523,1035,2079,14.4035
5,500,mutate_pack_content,636228,636228,575508,3895.71,554,554,2118,2710,27.8431
5,750,remove_pack,580497,580497,508904,3437.84,604,605,2309,3516,43.0837
5,1000,remove_pack,541757,541757,466697,3033.79,636,636,1982,4035,59.3059
5,1250,merge_packs,495738,495738,436559,2677.23,699,699,1328,4643,77.1338
5,1500,merge_packs,454636,454636,416817,2362.57,745,745,1145,5347,94.5233
5,1750,split_pack,440990,440990,385828,2084.9,786,786,839,6005,113.038
5,2000,mutate_pack_content,405162,403949,370254,1839.86,823,823,824,6466,132.165
5,2250,mutate_pack_content,386577,386468,362853,1623.62,859,859,979,6681,151.86
5,2500,reallocate,376498,376498,358754,1432.79,903,903,783,7027,173.17
5,2750,merge_packs,360604,360604,349481,1264.4,937,937,722,7307,193.497
5,3000,mutate_pack_content,356670,356456,344265,1115.79,1002,997,643,7463,214.444
5,3250,reallocate,349609,348678,332769,984.651,1040,1029,565,7742,236.019
5,3500,merge_packs,338470,338470,328481,868.924,1083,1083,486,7739,259.142
5,3750,reallocate,328813,328794,326890,766.799,1129,1128,397,8240,287.018
5,4000,remove_pack,328033,326502,324738,676.676,1187,1156,373,8279,311.213
5,4250,add_curve_pack,326448,326117,321861,597.146,1232,1222,309,8299,336.731
5,4500,remove_pack,321045,321045,321045,526.963,1258,1258,287,8279,363.6
5,4750,merge_packs,318642,318417,318417,465.029,1304,1294,298,8220,391.472
5,5000,remove_pack,315128,314448,314448,410.374,1338,1337,280,7911,414.284
