pack_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
P126,0,0,0,2,0,0,0,0,0,0,0
P127,2,2,7,1,11,4,5,1,3,0,0
P128,10,14,20,27,23,22,11,3,5,28,63
P129,0,3,1,4,0,0,0,3,0,3,0
P130,1,2,0,2,2,0,0,0,2,0,1
P131,0,0,0,0,0,1,0,0,0,0,0
P132,2,15,13,10,7,11,3,2,2,9,25
P133,1,1,1,4,0,0,2,0,1,0,4
P134,1,1,0,0,3,0,0,1,0,0,0
P135,0,0,0,1,1,0,1,1,1,0,0
P136,0,0,0,0,1,0,0,3,2,0,0
P137,4,0,0,3,0,0,3,1,1,5,4
P138,0,0,2,0,3,0,0,0,0,0,4
P139,0,2,0,3,2,1,3,1,0,1,2
P140,0,0,0,2,2,2,1,0,0,0,0
P141,0,2,2,1,1,0,1,0,0,0,7
P142,0,1,0,2,0,1,1,0,0,1,0
P143,5,6,6,6,7,5,6,1,2,13,14
P144,1,2,1,2,0,2,1,0,1,1,5
P145,8,0,12,14,0,5,2,0,7,0,7
P146,6,0,7,2,6,5,3,2,2,4,8
P147,1,0,1,1,4,0,0,1,1,7,1
P148,0,0,2,0,0,7,0,0,2,2,0
P149,0,0,0,4,1,0,0,1,0,0,2
P150,0,0,0,0,0,0,0,0,0,2,0
P151,0,0,0,0,1,0,0,1,0,0,0
P152,0,0,0,1,2,0,0,0,0,2,4
P153,1,0,0,1,0,0,0,0,1,0,0
P154,0,0,0,2,0,0,0,0,0,0,2
P155,1,0,0,0,0,1,1,0,0,1,0
P156,0,0,1,1,0,0,0,0,0,0,0
P157,1,2,3,0,0,0,2,0,0,2,0
P158,0,0,0,0,1,0,0,0,0,0,0
P159,0,0,1,0,0,1,0,0,3,2,3
P160,2,0,1,1,0,0,0,1,0,0,1
P161,0,0,0,0,1,0,1,0,0,0,0
P162,0,0,0,1,0,1,0,1,0,1,0
P163,0,0,2,0,0,0,0,2,0,0,1
P164,2,0,0,0,0,1,0,0,0,1,0
P165,0,0,0,0,4,1,4,0,0,1,7
P166,3,3,3,8,5,3,5,1,2,5,13
P167,0,0,0,3,0,0,0,0,0,0,4
P168,1,0,0,1,5,0,0,0,0,0,0
P169,5,6,7,10,12,10,5,2,2,10,17
P170,0,2,0,7,6,0,1,0,1,0,5
P171,0,3,0,1,3,2,1,0,0,1,19
P172,1,2,1,0,0,0,0,0,0,0,0
P173,3,4,0,0,1,1,0,0,0,0,2
P174,1,2,0,3,0,0,3,0,2,2,3
P175,1,0,0,0,1,0,0,0,1,1,0
P176,2,0,2,3,4,2,2,1,1,6,4
P177,0,0,3,0,1,2,0,0,0,0,1
P178,0,0,0,2,0,0,1,1,1,0,2
P179,0,0,0,1,0,0,0,1,0,3,0
P180,0,2,0,0,0,0,0,0,0,0,0
P181,1,4,3,0,1,3,0,0,1,0,12
P182,1,1,1,0,0,5,1,1,0,8,0
P183,0,0,0,2,0,0,0,0,1,3,0
P184,0,1,1,1,1,1,0,0,0,0,2
P185,0,0,0,0,3,0,0,1,0,3,1
P186,5,6,5,3,6,6,2,1,1,2,4
P187,1,2,2,5,3,2,1,0,0,3,5
P188,0,0,1,0,1,0,1,1,0,0,0
P189,0,0,3,0,1,1,0,1,1,0,1
P190,0,2,1,0,1,12,0,1,0,0,0
P191,5,3,4,8,8,1,3,1,2,9,27
P192,0,1,0,2,0,4,0,1,1,1,3
P193,1,1,1,3,0,2,1,0,0,0,0
P194,0,1,1,0,1,2,1,0,1,3,2
P195,4,2,4,4,7,5,2,1,0,6,16
P196,1,3,5,4,6,2,1,1,0,5,21
P197,0,0,0,0,0,1,0,0,0,0,3
P198,1,0,1,0,1,1,0,0,1,4,2
P199,0,2,0,3,2,0,0,0,0,0,2
P200,2,0,2,0,5,1,8,0,0,0,0
P201,0,0,0,0,0,0,1,0,0,4,0
P202,0,1,2,0,0,1,0,0,0,0,0
P203,3,4,2,9,6,6,5,1,3,10,25
P204,0,0,3,0,2,2,0,0,1,1,2
P205,0,0,4,0,7,1,0,0,0,0,0
P206,0,0,0,0,0,0,0,0,0,0,1
P207,0,0,3,3,2,1,1,1,1,1,1
P208,1,0,0,0,0,1,0,1,2,1,0
P209,1,0,2,3,0,0,0,1,0,0,2
P210,0,0,2,0,0,2,0,0,0,0,0
P211,1,0,1,3,1,0,0,0,1,0,3
P212,0,0,0,1,0,2,0,0,0,0,3
P213,0,0,0,1,0,0,0,0,0,0,0
P214,0,1,0,0,0,2,0,0,0,3,2
P215,5,4,9,10,14,5,3,2,3,6,13
P216,1,2,5,2,3,2,0,1,2,1,1
P217,1,0,0,0,0,0,0,0,1,0,0
P218,1,1,0,1,0,0,0,0,1,3,2
P219,1,1,0,0,0,0,0,0,0,0,0
P220,1,2,2,2,4,1,1,1,0,2,11
P221,0,2,2,1,4,1,0,0,1,2,8
P222,0,0,0,0,1,0,0,0,0,0,0
P223,4,4,6,12,12,6,5,3,2,14,24
P224,0,0,0,1,0,0,0,0,0,1,2
P225,0,0,0,0,0,1,0,0,0,0,0
P226,1,0,0,0,0,0,0,0,0,1,2
P227,3,1,7,7,4,0,5,2,0,13,22
P228,0,0,0,0,0,0,0,0,1,0,5
P229,1,1,2,1,1,1,0,0,1,5,1
P230,0,1,3,3,2,0,0,0,1,1,3
P231,0,1,3,2,2,2,0,0,0,1,2
P232,0,0,1,0,0,0,0,0,0,0,0
P233,0,4,5,2,1,5,1,0,1,3,15
P234,0,0,0,0,1,0,0,0,0,0,1
P235,0,0,0,0,1,0,0,0,0,0,0
P236,1,1,1,3,6,1,0,0,1,6,11
P237,0,1,1,2,3,1,1,0,0,1,1
P238,0,1,0,2,0,0,0,1,0,1,1
P239,0,0,0,0,0,0,0,0,0,0,1
P240,2,2,3,4,6,3,4,1,1,2,9
P241,0,0,1,3,0,0,0,0,0,0,0
P242,5,2,4,6,5,1,6,0,1,3,9
P243,0,0,0,3,0,0,0,0,1,0,2
P244,1,0,6,0,3,2,2,0,3,3,2
P245,0,0,0,0,0,0,0,0,0,3,7
P246,3,0,0,0,0,2,1,0,0,0,0
P247,1,0,0,0,0,1,1,0,1,0,2
P248,0,0,0,1,0,0,1,0,0,0,1
P249,0,0,0,0,1,0,1,0,0,1,4
P250,1,0,1,0,0,0,1,0,0,1,1
P251,3,1,3,0,2,0,3,1,0,3,3
P252,2,2,0,4,3,5,3,1,0,4,6
P253,1,3,2,4,1,1,1,0,1,7,7
P254,0,1,4,8,3,1,4,1,2,9,17
P255,2,0,0,0,0,1,0,0,1,2,0
P256,1,0,1,1,0,0,1,0,1,5,9
P257,0,5,3,1,2,1,1,0,0,2,3
P258,0,0,0,4,5,9,0,0,0,0,6
P259,2,2,1,2,7,5,1,0,2,0,5
P260,0,0,0,0,2,0,0,0,0,0,0
P261,2,0,1,2,0,0,0,1,0,0,3
P262,0,0,0,0,2,0,1,0,0,3,3
P263,1,0,0,1,2,9,0,0,2,0,0
P264,0,0,0,0,0,1,0,0,0,0,0
P265,0,0,1,1,1,0,0,0,1,0,0
