sku_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
BH075SYWYT_S,8,23,35,75,61,29,25,7,10,62,69
BH075SYWYT_XL,6,12,6,11,6,5,6,2,3,9,15
BH075SYWYT_XS,22,28,42,61,30,50,20,9,15,56,100
BH075SYWYT_XXS,18,13,13,40,23,21,28,8,4,30,28
D9J7V1UG3B_L,37,34,62,68,66,22,34,18,14,81,238
D9J7V1UG3B_M,34,52,70,91,115,57,26,25,15,87,208
D9J7V1UG3B_S,22,19,37,51,41,48,15,9,13,59,107
D9J7V1UG3B_XL,11,15,17,26,25,24,15,4,8,31,49
D9J7V1UG3B_XS,5,11,22,30,24,13,11,7,7,29,59
D9J7V1UG3B_XXL,12,10,9,16,21,10,9,6,4,15,43
DVAZLH292T_L,2,3,2,4,3,2,4,1,2,2,11
DVAZLH292T_M,4,5,7,7,10,4,8,4,1,6,11
DVAZLH292T_S,7,7,7,12,10,8,11,5,5,14,25
DVAZLH292T_XL,3,2,2,3,6,1,3,0,2,3,7
DVAZLH292T_XS,5,2,9,12,19,10,8,1,3,6,19
DVAZLH292T_XXS,6,4,2,9,6,2,3,2,3,8,12
DY2XGBW1QT_L,30,27,44,62,65,62,36,19,21,69,173
DY2XGBW1QT_M,30,26,37,59,79,46,47,15,19,109,167
DY2XGBW1QT_S,18,19,18,32,42,28,18,21,8,41,88
DY2XGBW1QT_XL,12,23,10,20,28,17,11,8,5,20,53
DY2XGBW1QT_XS,6,12,6,15,10,18,9,3,6,21,39
DY2XGBW1QT_XXL,7,4,6,16,15,15,10,2,3,19,35
EC1T9WA177_L,14,7,15,21,21,21,12,2,9,25,23
EC1T9WA177_M,12,10,9,25,18,11,8,6,6,17,40
EC1T9WA177_S,3,7,6,8,13,11,4,1,2,9,20
EC1T9WA177_XL,15,7,8,21,22,14,9,5,7,22,23
EC1T9WA177_XS,4,2,2,6,8,4,3,0,2,9,9
EC1T9WA177_XXL,3,3,3,3,7,5,2,1,2,3,13
F58Y8I60TY_L,3,2,3,4,2,3,3,0,1,3,5
F58Y8I60TY_M,3,1,5,11,9,6,2,2,2,4,7
F58Y8I60TY_S,6,9,10,13,17,7,6,1,4,7,18
F58Y8I60TY_XL,2,0,2,7,3,4,2,0,2,1,5
F58Y8I60TY_XS,7,7,9,27,12,18,8,10,7,18,34
F58Y8I60TY_XXS,8,5,9,20,11,6,3,2,5,11,16
FBE5E6Q4S6_L,35,30,35,64,58,48,24,14,12,80,89
FBE5E6Q4S6_M,45,47,71,94,86,30,58,8,27,101,244
FBE5E6Q4S6_S,18,23,29,31,31,14,21,7,10,43,60
FBE5E6Q4S6_XL,23,12,18,28,32,12,15,6,7,39,74
FBE5E6Q4S6_XS,9,19,17,23,18,15,16,5,6,17,44
FBE5E6Q4S6_XXL,4,10,10,16,12,12,11,3,4,21,37
I8RO5VPQIV_L,29,16,23,34,54,36,24,11,8,40,64
I8RO5VPQIV_M,34,25,30,63,46,30,31,11,15,40,104
I8RO5VPQIV_S,21,19,23,33,31,21,19,8,9,30,90
I8RO5VPQIV_XL,8,11,13,28,17,19,8,6,7,23,36
I8RO5VPQIV_XS,16,10,13,24,16,14,10,8,3,18,49
I8RO5VPQIV_XXL,11,9,10,17,14,10,7,2,3,9,36
J7DERD76U8_onesize,20,49,48,81,120,26,28,11,28,52,85
KBG0WAZV9P_onesize,22,22,40,33,35,33,30,15,15,38,89
KBX5F1FCPW_onesize,27,27,26,44,53,45,27,13,14,52,112
KU65DK7JCX_L,13,6,17,16,27,14,10,5,5,28,35
KU65DK7JCX_M,25,20,30,34,32,21,19,6,12,29,64
KU65DK7JCX_S,35,19,39,43,55,53,38,12,13,86,65
KU65DK7JCX_XL,6,7,5,8,12,10,2,2,2,10,21
KU65DK7JCX_XS,32,38,31,36,42,31,20,13,16,24,84
KU65DK7JCX_XXS,26,19,22,43,30,21,13,10,13,51,40
KX2DPVZSC6_L,37,49,40,85,54,41,30,11,31,59,121
KX2DPVZSC6_M,27,27,43,65,58,33,24,9,21,45,81
KX2DPVZSC6_S,9,36,29,31,26,17,16,3,10,27,49
KX2DPVZSC6_XL,20,14,32,40,52,25,16,7,15,45,109
KX2DPVZSC6_XS,10,6,10,11,22,8,8,8,3,11,32
