restart,iteration,operator,current_cost,restart_best_cost,global_best_cost,temperature,pack_types_current,pack_types_best,shortage_units_best,overstock_units_best,elapsed_seconds
2,6250,mutate_pack_content,308366,307641,300972,219.623,1499,1490,157,7570,309.989
2,6500,reallocate,307585,306742,299687,193.81,1525,1519,129,7687,326.652
2,6750,merge_packs,304008,304003,298989,171.032,1554,1552,143,7477,344.893
2,7000,add_curve_pack,300218,299852,295661,150.93,1605,1600,128,7732,363.098
2,7250,add_curve_pack,300557,299662,293572,133.191,1640,1615,130,7703,381.389
2,7500,mutate_pack_content,298490,298449,290755,117.537,1677,1671,111,7525,399.314
2,7750,merge_packs,295599,295561,289571,103.723,1723,1712,111,7456,418.489
2,8000,split_pack,294452,294452,287377,91.5324,1773,1767,122,7478,438.017
2,8250,reallocate,291986,291986,285429,80.7745,1801,1801,114,7476,458.685
2,8500,mutate_pack_content,291475,291118,284676,71.281,1820,1819,105,7480,479.554
2,8750,mutate_pack_content,291452,291049,284050,62.9033,1845,1832,135,7369,500.789
2,9000,split_pack,289907,289907,282659,55.5103,1891,1891,121,7436,521.677
2,9250,split_pack,289137,288957,280668,48.9861,1917,1900,128,7322,544.584
2,9500,mutate_pack_content,287639,287639,279901,43.2287,1937,1937,162,7255,566.167
2,9750,merge_packs,287081,286943,278703,38.148,1952,1949,141,7272,587.568
2,10000,add_curve_pack,285371,285371,278120,33.6645,1994,1994,129,7282,609.517
2,10250,remove_pack,284903,284773,277528,29.7079,2025,2023,129,7274,631.409
2,10500,add_curve_pack,284208,284172,276894,26.2163,2060,2053,124,7230,653.714
2,10750,remove_pack,282589,282589,276310,23.1351,2089,2089,128,7217,676.694
2,11000,split_pack,281717,281717,273315,20.416,2096,2095,117,7278,699.615
2,11250,mutate_pack_content,280851,280851,272525,18.0165,2130,2129,134,7270,721.98
2,11500,merge_packs,279774,279774,271886,15.899,2125,2128,127,7342,745.563
2,11750,mutate_pack_content,278709,278688,271035,14.0304,2153,2151,128,7313,769.677
2,12000,reallocate,277889,277889,268408,12.3814,2153,2153,123,7299,795.552
2,12250,mutate_pack_content,277116,277116,267633,10.9262,2163,2162,122,7292,820.949
2,12500,split_pack,276754,276743,267071,9.64202,2172,2162,125,7294,846.597
2,12750,mutate_pack_content,276577,276577,266649,8.50878,2183,2178,128,7283,872.02
2,13000,add_curve_pack,275856,275856,266451,7.50874,2207,2200,139,7273,897.605
3,1,split_pack,734225,734225,706805,5000,492,492,1761,869,0.373788
3,250,merge_packs,663672,660379,636967,4414.55,541,529,994,2343,8.61991
3,500,remove_pack,570195,569808,566221,3895.71,591,589,1347,3622,17.3068
3,750,remove_pack,521936,521936,496345,3437.84,618,618,1872,4655,25.9884
3,1000,reallocate,486748,486748,450039,3033.79,660,660,1871,5252,34.9811
3,1250,mutate_pack_content,464919,464919,426447,2677.23,697,697,2085,5378,44.5181
3,1500,merge_packs,420375,420375,402866,2362.57,741,741,1134,6190,54.2215
3,1750,merge_packs,387173,385828,385828,2084.9,778,767,1191,7671,64.9281
