pack_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
P126,0,0,1,0,1,1,2,0,0,1,0
P127,1,0,1,1,0,3,1,0,0,0,0
P128,0,4,0,0,1,0,1,1,0,1,6
P129,0,0,0,3,2,1,0,0,0,0,2
P130,6,3,2,1,6,5,4,1,1,2,7
P131,0,0,1,2,1,0,0,0,0,3,1
P132,0,1,0,1,0,0,1,0,0,1,0
P133,0,0,0,1,1,5,0,0,0,0,2
P134,0,1,2,1,0,0,0,1,0,4,3
P135,0,0,0,1,0,0,0,0,0,0,1
P136,0,0,6,8,11,3,0,0,1,0,1
P137,1,0,3,0,0,0,0,0,1,1,4
P138,4,5,3,1,0,0,0,2,2,0,13
P139,3,0,0,3,2,0,0,0,0,3,1
P140,3,1,0,4,2,0,0,0,0,1,1
P141,1,1,2,4,4,0,1,1,0,0,1
P142,0,0,1,6,5,0,0,1,0,3,4
P143,4,5,6,8,9,6,3,0,2,13,15
P144,0,0,1,0,0,0,0,2,0,0,0
P145,0,0,0,0,0,2,2,0,0,1,2
P146,2,0,0,3,5,2,0,1,1,0,5
P147,3,0,9,0,3,3,0,2,0,0,2
P148,0,0,2,0,0,0,3,0,0,2,0
P149,1,0,0,0,5,0,4,4,0,5,12
P150,4,1,3,20,4,0,5,0,8,13,0
P151,2,0,1,0,3,4,1,2,0,1,6
P152,0,1,0,0,0,0,0,0,0,0,0
P153,0,0,0,4,0,0,0,0,0,0,0
P154,2,2,4,3,3,0,0,2,0,5,4
P155,2,0,3,1,0,3,0,1,1,2,8
P156,0,0,0,0,0,0,0,0,1,0,0
P157,0,1,0,0,0,0,0,0,1,0,3
P158,0,2,0,0,4,0,0,0,0,1,3
P159,0,0,1,0,0,0,0,0,2,2,1
P160,0,0,1,1,1,0,1,0,0,1,1
P161,0,0,0,0,0,1,0,0,0,6,0
P162,2,0,0,5,5,0,0,0,0,3,0
P163,0,0,1,0,0,1,0,1,0,3,0
P164,0,0,0,0,0,0,1,0,2,0,0
P165,0,1,0,0,0,1,0,0,0,0,1
P166,0,0,0,0,0,0,0,0,1,0,0
P167,0,0,0,0,0,6,2,1,0,2,0
P168,0,0,0,0,2,0,0,0,2,2,0
P169,3,2,0,0,1,0,0,1,0,0,1
P170,1,0,0,3,0,0,0,0,0,1,1
P171,0,0,0,0,4,0,0,1,0,1,0
P172,1,2,1,0,2,1,2,0,2,1,6
P173,1,1,0,1,1,1,1,0,0,0,1
P174,0,0,0,2,0,0,0,0,0,4,0
P175,0,0,0,8,2,0,0,2,0,9,13
P176,0,0,6,3,3,0,0,0,0,0,0
P177,0,0,0,0,0,1,1,0,1,1,0
P178,1,1,6,0,0,1,2,0,0,2,0
P179,0,0,0,0,0,1,0,0,0,1,0
P180,0,1,1,0,0,0,0,0,0,0,0
P181,0,0,0,0,0,2,0,0,0,0,0
P182,0,0,1,0,0,0,1,0,0,0,0
P183,0,0,0,0,0,0,0,1,0,0,1
P184,0,0,0,0,0,0,1,0,0,2,1
P185,3,1,0,6,0,4,1,0,0,0,2
P186,1,0,0,0,0,0,0,0,1,0,2
P187,3,0,0,0,5,0,4,1,0,0,0
P188,4,0,1,1,0,0,3,1,1,0,2
P189,2,0,0,0,1,0,0,0,0,5,0
P190,0,0,1,0,0,0,0,0,0,1,0
P191,0,0,0,0,0,0,0,0,0,0,2
P192,0,0,0,0,0,0,3,0,0,2,0
P193,1,0,0,0,0,0,0,2,0,6,0
P194,0,0,0,0,0,0,2,0,0,0,1
P195,0,1,0,2,1,0,2,1,1,0,0
P196,0,3,3,12,4,1,1,0,2,3,15
P197,0,1,1,1,0,1,2,2,2,0,6
P198,0,0,0,0,0,0,0,0,0,0,2
P199,0,0,0,1,2,1,0,1,1,5,2
P200,0,0,1,0,1,0,0,0,0,1,0
P201,0,0,0,0,0,0,0,0,0,0,2
P202,1,0,0,0,0,3,0,0,0,0,2
P203,0,0,5,0,0,0,1,0,0,0,0
P204,2,0,1,4,3,1,0,0,0,0,1
P205,0,0,0,1,0,0,0,0,1,0,0
P206,0,0,0,0,3,0,0,0,0,0,0
