sku_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
BH075SYWYT_S,29,23,35,75,59,29,29,9,11,62,90
BH075SYWYT_XL,7,4,7,11,6,5,3,1,2,11,15
BH075SYWYT_XS,22,29,40,61,39,50,21,7,18,57,99
BH075SYWYT_XXS,17,13,13,40,24,21,27,9,4,31,27
D9J7V1UG3B_L,36,38,56,81,85,53,54,17,31,81,238
D9J7V1UG3B_M,38,53,69,93,114,76,48,24,41,91,208
D9J7V1UG3B_S,23,22,37,51,46,48,29,8,16,59,106
D9J7V1UG3B_XL,10,15,18,25,25,24,16,4,9,25,50
D9J7V1UG3B_XS,13,15,18,26,24,17,16,3,7,25,59
D9J7V1UG3B_XXL,6,3,9,21,21,21,10,4,6,18,33
DVAZLH292T_L,1,3,1,3,3,2,4,1,1,2,12
DVAZLH292T_M,5,5,10,13,10,7,6,4,3,13,12
DVAZLH292T_S,7,6,11,15,14,8,11,3,5,18,25
DVAZLH292T_XL,2,2,2,2,6,2,2,0,2,4,7
DVAZLH292T_XS,8,2,12,17,21,10,8,1,6,16,20
DVAZLH292T_XXS,5,3,2,8,6,6,2,1,2,9,12
DY2XGBW1QT_L,26,18,44,62,65,62,38,22,19,69,154
DY2XGBW1QT_M,35,25,46,58,79,65,50,23,19,109,167
DY2XGBW1QT_S,18,20,25,31,34,30,17,7,7,26,88
DY2XGBW1QT_XL,12,10,13,20,27,24,12,8,6,22,53
DY2XGBW1QT_XS,12,11,14,21,27,18,11,4,8,22,39
DY2XGBW1QT_XXL,9,6,5,15,14,14,9,2,3,20,35
EC1T9WA177_L,13,8,15,20,18,21,9,3,6,24,31
EC1T9WA177_M,10,10,9,25,20,14,12,6,7,20,40
EC1T9WA177_S,4,7,6,8,8,5,4,3,4,9,19
EC1T9WA177_XL,12,5,5,14,24,5,9,5,3,13,26
EC1T9WA177_XS,3,2,2,4,5,2,5,1,1,7,7
EC1T9WA177_XXL,5,3,3,4,9,13,7,1,2,6,13
F58Y8I60TY_L,2,3,3,8,5,3,3,2,1,2,9
F58Y8I60TY_M,2,4,5,11,9,6,4,3,2,6,12
F58Y8I60TY_S,10,8,15,21,15,8,5,3,5,10,18
F58Y8I60TY_XL,2,4,2,7,4,3,0,1,2,1,4
F58Y8I60TY_XS,9,10,10,27,17,19,13,8,7,23,34
F58Y8I60TY_XXS,7,6,10,21,11,8,5,3,5,10,17
FBE5E6Q4S6_L,36,28,35,64,57,48,30,23,14,80,89
FBE5E6Q4S6_M,45,47,71,99,97,55,62,24,30,101,242
FBE5E6Q4S6_S,18,23,29,42,37,23,20,11,12,43,65
FBE5E6Q4S6_XL,24,11,14,23,32,22,17,5,7,36,34
FBE5E6Q4S6_XS,9,19,16,19,18,15,16,4,4,20,46
FBE5E6Q4S6_XXL,8,10,11,20,19,16,11,4,4,21,34
I8RO5VPQIV_L,34,16,23,34,53,36,22,10,10,40,70
I8RO5VPQIV_M,35,27,30,62,46,32,31,12,15,40,104
