metric,value
total_cost,166991
setup_cost,55610
handling_cost,37424.8
capital_cost,73956.6
shortage_cost,0
pack_types_used,415
allocated_packs_total,3393
forecast_units_total,67951
shipped_units_total,76831
overstock_units_total,8880
shortage_units_total,0
baseline_no_packs_handling_cost,749500
estimated_savings_vs_unit_handling_only,582508
