pack_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
P126,0,1,0,1,0,1,2,1,0,0,6
P127,0,0,0,2,2,0,1,0,0,1,3
P128,1,0,1,1,1,0,1,0,1,1,3
P129,0,1,1,0,0,0,0,0,0,0,0
P130,0,0,0,0,0,0,0,0,1,0,1
P131,0,0,0,1,0,0,0,0,0,2,1
P132,2,3,2,0,2,2,1,2,1,0,3
P133,0,0,4,0,0,2,0,0,0,1,0
P134,0,0,0,0,1,1,1,0,1,2,0
P135,0,0,0,4,0,0,0,0,2,0,1
P136,0,1,1,1,1,0,0,0,0,0,0
P137,0,0,0,0,0,3,1,0,0,1,0
P138,0,1,0,1,0,0,0,0,0,1,0
P139,0,0,0,0,0,0,0,1,0,0,0
P140,2,0,0,0,0,0,0,0,2,3,1
P141,0,0,1,0,1,0,0,0,0,0,2
P142,0,1,0,0,0,0,2,0,0,0,0
P143,0,0,1,1,0,0,0,0,0,1,0
P144,1,2,0,4,1,1,0,0,0,4,5
P145,2,0,5,4,3,2,0,0,0,0,8
P146,0,1,2,0,0,0,0,0,0,0,1
P147,1,0,2,2,0,0,0,1,0,3,0
P148,0,0,2,2,0,1,0,0,0,0,0
P149,1,0,0,0,0,0,0,0,0,3,0
P150,0,1,1,0,1,3,0,0,0,0,5
P151,1,0,0,0,0,0,1,0,0,0,1
P152,0,1,0,0,0,0,0,0,0,0,0
P153,0,1,0,1,0,0,0,0,0,1,2
P154,0,1,1,1,2,0,1,0,0,1,1
P155,1,0,1,4,1,0,1,1,0,1,1
P156,1,1,0,0,1,0,0,0,0,0,4
P157,0,0,1,2,0,0,0,0,0,2,0
P158,2,0,0,2,0,0,1,0,0,1,0
P159,0,1,0,2,0,2,2,0,0,2,0
P160,1,1,0,1,1,2,2,0,0,2,6
P161,0,0,0,0,0,1,1,0,0,0,1
P162,0,1,1,0,0,0,0,0,0,0,0
P163,1,0,0,0,1,3,0,0,0,0,0
P164,1,1,2,1,0,0,2,0,3,1,1
P165,0,0,0,1,1,3,0,0,0,3,1
P166,2,1,1,3,4,4,0,1,2,3,5
P167,2,0,0,0,0,0,0,0,0,2,2
P168,0,1,0,2,1,1,0,2,0,0,1
P169,1,1,0,1,5,0,3,1,1,1,5
P170,0,0,2,0,2,0,0,0,1,0,0
P171,0,0,0,0,0,0,0,0,0,1,1
P172,1,0,0,0,1,0,2,1,0,1,1
P173,0,0,1,2,0,0,1,0,0,1,0
P174,0,0,3,1,0,0,0,0,1,0,0
P175,1,1,2,2,1,2,1,1,0,1,4
P176,0,1,1,0,1,3,0,0,1,2,0
P177,0,0,0,1,3,2,0,0,0,0,2
P178,1,0,3,4,2,4,2,1,3,5,6
P179,1,1,0,0,0,1,0,0,0,0,4
P180,0,0,0,2,1,0,1,0,0,0,3
P181,0,0,0,0,2,4,0,1,0,0,1
P182,0,0,0,0,0,0,0,0,0,0,2
P183,1,0,0,0,0,0,0,0,0,3,1
P184,0,0,0,0,1,0,2,0,0,0,1
P185,0,0,0,0,0,0,0,1,0,1,2
P186,0,1,0,0,0,0,0,0,0,0,1
P187,1,1,0,0,0,0,1,0,0,2,2
P188,0,0,2,0,0,0,0,0,1,0,1
P189,0,0,0,0,0,0,1,0,1,0,4
P190,1,0,0,0,1,0,0,0,0,0,0
P191,1,0,0,2,0,2,3,1,0,2,5
P192,1,1,1,1,2,3,1,0,0,1,0
P193,1,0,0,0,0,0,0,1,0,0,2
P194,1,2,1,1,0,0,0,0,1,1,1
P195,0,0,0,0,0,2,0,0,0,0,1
P196,2,0,0,1,0,0,0,0,0,2,0
P197,1,1,0,0,0,0,0,0,0,0,0
P198,0,0,1,1,1,0,0,0,0,0,1
P199,0,1,0,2,0,1,0,0,0,0,0
P200,2,0,0,1,0,0,0,1,0,0,0
P201,1,1,0,1,1,1,1,0,1,3,3
P202,0,0,0,1,1,0,0,0,0,0,1
P203,0,1,0,0,0,0,0,0,0,0,0
P204,0,2,0,2,1,1,0,0,0,0,0
P205,0,0,0,0,1,0,1,1,0,0,2
P206,0,0,0,2,1,0,0,0,0,0,0
P207,0,2,0,1,0,0,1,0,0,0,0
P208,0,0,0,1,0,0,0,1,0,0,0
P209,0,1,0,1,1,0,0,0,0,0,0
P210,0,1,0,0,0,0,0,1,0,0,0
P211,0,0,1,0,0,0,0,0,1,0,1
P212,0,1,1,1,0,1,0,2,1,0,3
P213,2,0,1,0,0,0,0,0,0,0,1
P214,1,0,0,0,0,0,0,0,0,0,1
P215,2,1,0,0,0,0,0,0,0,0,0
P216,2,0,2,0,0,0,2,0,1,1,0
P217,0,0,0,0,1,3,0,0,0,0,0
P218,2,1,2,2,5,2,3,0,0,1,3
P219,0,0,0,0,0,0,1,0,0,1,2
P220,2,1,0,1,0,3,1,0,1,2,4
P221,0,0,1,0,0,2,0,0,0,0,0
P222,0,1,0,8,0,0,0,1,0,2,5
P223,0,1,3,0,0,0,0,1,0,1,0
P224,0,0,0,0,0,0,0,0,0,2,0
P225,0,0,0,0,0,0,0,0,0,0,2
P226,0,1,0,1,0,1,0,0,0,3,0
P227,0,0,1,0,0,0,0,1,0,1,1
P228,0,1,0,0,1,1,0,0,0,2,2
P229,0,0,1,0,0,0,0,0,0,0,0
P230,0,1,0,1,0,0,1,0,0,0,1
P231,0,1,0,0,0,0,1,0,0,0,0
P232,3,2,0,2,0,3,2,1,1,1,2
P233,0,0,1,1,1,0,1,0,0,1,0
P234,2,0,0,0,0,0,2,0,0,1,1
P235,0,0,0,1,3,1,0,0,0,0,0
P236,1,0,1,1,1,0,0,0,1,0,0
P237,0,0,1,1,0,0,0,0,0,0,0
P238,0,0,0,0,0,2,0,0,0,0,2
P239,0,0,1,1,0,2,0,0,0,1,0
P240,0,1,0,0,0,1,0,0,0,1,0
P241,0,0,1,0,0,0,0,0,1,0,0
P242,0,1,0,0,0,0,1,1,0,1,0
P243,1,0,1,0,0,0,0,0,0,0,3
P244,1,0,0,1,0,2,1,0,0,5,6
P245,0,0,0,0,0,0,2,0,0,1,1
P246,0,0,0,1,0,0,1,0,0,0,2
P247,0,0,1,0,0,1,1,0,0,3,0
P248,0,0,0,0,0,1,0,0,0,0,0
P249,0,0,0,1,0,0,0,0,0,0,0
P250,0,0,1,1,0,0,0,2,1,0,0
P251,0,0,1,2,1,1,0,0,0,1,0
P252,1,0,0,0,0,0,0,0,0,0,0
P253,0,0,0,0,1,0,0,0,0,1,0
P254,1,2,0,0,1,0,1,0,0,0,0
P255,0,0,0,0,0,0,1,0,0,0,1
P256,2,0,0,0,0,0,0,0,0,0,0
P257,0,0,0,2,0,0,0,0,0,0,0
P258,0,0,0,0,0,0,1,0,0,0,0
P259,0,1,0,0,0,0,0,0,0,1,1
P260,2,1,0,2,4,0,0,0,0,0,0
P261,0,0,1,0,0,0,3,0,0,0,0
P262,0,1,0,0,5,0,0,0,0,1,7
P263,0,0,0,0,1,0,1,2,0,0,1
P264,0,0,0,0,0,0,0,0,0,0,2
P265,0,1,0,0,0,0,0,0,0,0,0
P266,0,2,0,1,2,1,0,0,2,0,0
P267,1,0,0,0,0,1,0,0,0,1,0
P268,0,0,0,0,0,0,0,0,0,0,2
P269,0,0,1,0,0,0,0,0,0,1,1
P270,0,1,2,1,0,0,0,0,0,0,0
P271,0,0,1,0,0,0,0,0,0,3,0
P272,0,0,0,1,2,1,0,0,0,0,0
P273,0,0,0,0,0,0,0,0,0,0,2
P274,0,0,0,0,0,1,0,0,0,0,0
P275,3,1,1,0,0,0,0,0,0,2,0
P276,0,0,0,1,0,0,1,0,0,1,1
P277,0,2,1,0,0,0,0,0,0,0,1
P278,0,0,0,0,1,1,1,0,1,1,0
P279,0,0,0,1,0,0,0,0,0,0,2
P280,0,0,0,1,1,2,0,0,0,0,0
P281,0,0,1,3,0,0,1,0,0,0,0
P282,0,0,0,0,0,1,0,0,1,0,0
P283,0,0,0,0,0,0,0,2,0,0,0
P284,0,1,0,0,2,0,1,0,0,0,0
P285,0,0,2,0,0,0,0,0,0,0,0
P286,0,0,1,0,0,0,1,0,0,1,1
P287,0,0,0,0,3,1,0,0,1,1,1
P288,1,0,0,1,0,0,0,0,0,0,0
P289,0,0,0,0,0,0,1,0,0,0,0
P290,0,2,0,1,3,0,0,0,0,0,0
P291,0,0,0,1,1,0,0,0,0,0,2
P292,0,1,0,0,0,0,0,0,0,0,3
P293,1,0,2,0,0,0,0,0,0,0,0
P294,0,0,0,0,1,0,0,0,0,0,0
P295,0,0,0,0,1,4,0,0,1,1,0
P296,0,0,0,1,1,0,0,0,0,0,0
P297,1,0,0,0,0,1,1,0,0,0,0
P298,0,0,0,0,1,0,0,1,0,0,0
P299,0,0,3,1,0,0,0,0,0,0,0
P300,0,0,0,0,0,0,0,0,0,2,0
P301,0,0,0,1,0,0,0,0,0,0,0
P302,0,0,1,0,5,0,0,0,0,0,1
P303,0,0,0,0,0,0,0,0,0,0,3
P304,0,0,0,0,2,0,1,1,0,1,0
P305,0,1,0,0,0,0,0,0,0,0,1
P306,0,0,1,0,0,0,0,0,0,0,0
P307,5,1,2,0,2,1,2,0,0,0,7
P308,0,0,1,1,0,0,0,0,0,0,0
P309,0,0,0,1,0,0,0,0,1,0,0
P310,1,0,0,0,2,1,1,0,0,0,1
P311,0,1,0,0,1,0,0,0,0,2,1
P312,2,0,1,0,0,0,1,0,0,0,0
P313,0,1,1,0,1,0,0,0,1,0,1
P314,0,0,0,0,0,1,0,1,0,1,0
P315,0,0,0,0,0,0,1,0,0,0,0
P316,0,2,0,0,0,0,0,1,0,0,0
P317,0,0,2,4,0,0,1,1,0,0,0
P318,0,0,0,0,0,0,0,0,0,0,1
P319,0,0,0,0,1,0,0,0,1,0,0
P320,0,1,0,2,0,0,0,0,0,1,0
P321,0,0,0,0,0,0,0,0,0,0,2
P322,0,0,0,0,2,1,0,0,0,0,0
P323,0,2,0,0,0,0,0,0,0,0,1
P324,0,0,0,0,0,0,0,0,0,0,2
P325,0,0,0,0,0,0,0,0,0,0,1
P326,1,0,0,0,1,1,1,0,0,1,0
P327,0,0,0,0,0,0,0,0,0,0,2
P328,0,0,0,0,0,0,3,0,0,0,1
P329,0,2,1,0,0,0,0,0,0,0,0
P330,0,0,0,1,0,0,0,0,0,0,2
P331,0,0,0,2,0,0,0,0,0,0,0
P332,1,1,0,1,1,2,0,1,1,0,0
P333,0,0,0,1,0,0,0,0,0,2,0
P334,0,0,0,0,0,0,0,0,0,2,0
P335,0,0,0,0,0,1,0,0,0,0,0
P336,0,1,0,0,0,0,0,0,0,0,0
P337,0,0,0,0,0,0,0,0,0,0,1
P338,0,0,1,0,0,0,0,0,0,0,0
P339,0,1,0,1,0,1,0,0,0,0,0
P340,0,0,0,0,1,0,0,0,0,0,2
P341,1,1,0,0,0,0,0,0,0,2,0
P342,0,0,0,0,0,0,0,0,0,1,1
P343,0,0,0,0,3,0,0,0,0,0,0
P344,0,0,1,0,0,0,0,0,1,1,0
P345,0,0,0,2,0,0,0,0,1,0,1
P346,0,0,0,0,0,0,0,0,0,0,1
P347,0,0,0,3,0,0,0,0,0,0,0
P348,0,0,0,1,1,0,0,1,0,0,0
P349,1,0,0,0,0,0,0,1,0,0,0
P350,0,0,1,0,0,1,0,0,0,0,0
P351,2,0,4,5,4,0,5,0,0,0,14
P352,2,0,4,1,0,1,0,0,0,1,1
P353,0,0,0,0,0,1,0,0,1,0,0
P354,0,0,0,0,1,0,0,0,0,0,0
P355,0,0,0,1,0,0,0,0,0,0,0
P356,0,0,0,2,0,0,0,0,0,1,0
P357,0,0,0,0,0,0,0,0,0,0,2
P358,0,0,0,1,0,0,0,0,0,0,0
P359,0,1,0,0,0,0,0,0,0,0,0
P360,0,1,0,0,0,0,1,0,0,2,0
P361,0,0,1,0,0,1,0,0,0,0,0
P362,0,0,0,0,0,0,0,0,0,2,0
P363,1,0,4,0,0,1,0,0,0,1,0
P364,1,0,0,0,1,0,0,0,0,0,0
P365,0,0,0,0,0,0,1,0,0,0,1
P366,0,0,0,1,0,0,0,0,0,0,0
P367,0,0,1,1,1,1,0,0,0,0,0
P368,1,0,0,0,0,0,0,0,0,0,0
P369,0,1,0,1,0,0,0,0,0,0,0
P370,0,0,0,0,0,0,0,0,0,3,0
P371,0,0,0,1,0,1,0,0,1,0,0
P372,3,0,0,0,0,0,0,0,1,0,0
P373,0,0,1,0,0,0,0,0,0,1,0
P374,0,0,0,0,0,0,0,0,0,1,0
P375,0,0,0,0,1,0,0,0,0,0,0
P376,0,0,0,0,0,2,1,0,1,0,0
P377,0,0,0,1,0,0,0,0,1,0,0
P378,0,0,0,1,0,1,1,0,0,1,0
P379,0,0,0,0,0,0,0,0,0,1,1
P380,0,0,0,0,0,0,0,0,0,0,1
P381,0,4,0,11,12,5,5,1,2,4,21
P382,0,0,0,0,0,0,0,0,0,0,1
P383,0,0,0,0,0,1,0,0,0,0,1
P384,0,0,0,1,1,0,1,0,0,0,0
P385,0,0,0,1,1,0,0,0,0,0,0
P386,0,0,1,0,0,0,1,1,0,2,0
P387,0,0,3,0,0,0,0,0,0,2,1
P388,0,0,0,0,0,1,0,0,0,0,1
P389,0,0,0,0,0,0,0,0,0,0,2
P390,0,0,0,0,0,0,0,0,0,0,3
P391,1,0,0,0,0,0,0,1,0,0,3
P392,1,0,0,0,0,0,0,0,0,0,0
P393,0,0,0,0,0,0,1,0,0,0,1
P394,0,0,2,0,0,2,1,0,0,0,2
P395,0,0,1,2,0,0,0,0,0,0,0
P396,1,0,0,2,0,0,0,0,0,3,0
P397,0,0,0,0,0,1,0,0,0,0,0
P398,0,2,1,0,0,0,0,0,0,2,0
P399,0,0,0,1,0,0,0,0,0,1,0
P400,1,1,0,0,0,1,0,0,0,0,0
P401,0,0,0,0,0,0,0,0,0,0,1
P402,0,0,0,2,0,0,0,0,0,0,0
P403,0,0,2,0,0,0,0,0,0,0,0
P404,0,2,0,0,0,0,0,1,0,0,2
P405,0,1,0,0,0,0,0,0,0,0,0
P406,0,0,0,1,1,1,0,0,0,0,0
P407,0,0,0,0,1,0,0,0,0,0,0
P408,1,0,0,0,1,0,0,0,0,0,1
P409,0,0,0,0,0,0,0,0,1,0,0
P410,0,0,0,1,0,0,0,0,0,0,0
P411,0,1,0,0,0,0,0,0,0,0,1
P412,0,0,0,2,0,0,0,0,0,0,2
P413,0,0,0,0,0,0,0,0,0,1,0
P414,0,0,0,0,0,0,0,0,0,1,0
P415,0,0,0,0,0,1,0,0,0,0,0
