metric,value
total_cost,203177
setup_cost,42478
handling_cost,53859.5
capital_cost,106839
shortage_cost,0
pack_types_used,317
allocated_packs_total,4883
forecast_units_total,67951
shipped_units_total,81489
overstock_units_total,13538
shortage_units_total,0
baseline_no_packs_handling_cost,749500
estimated_savings_vs_unit_handling_only,546323
