sku_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
BH075SYWYT_S,30,22,36,80,59,29,27,7,9,63,70
BH075SYWYT_XL,6,5,8,12,10,7,6,2,2,12,15
BH075SYWYT_XS,36,27,42,61,44,52,37,16,17,61,100
BH075SYWYT_XXS,20,17,26,40,31,30,27,9,10,39,52
D9J7V1UG3B_L,46,34,56,74,93,61,45,22,20,82,238
D9J7V1UG3B_M,34,52,70,100,115,60,58,25,28,109,219
D9J7V1UG3B_S,22,22,37,52,67,48,29,9,14,59,123
D9J7V1UG3B_XL,14,15,21,32,30,24,22,4,10,28,57
D9J7V1UG3B_XS,8,13,19,26,32,24,12,5,17,24,60
D9J7V1UG3B_XXL,8,9,9,17,24,16,13,6,6,16,41
DVAZLH292T_L,2,4,4,4,5,6,4,4,1,5,11
DVAZLH292T_M,4,6,7,10,9,5,5,4,3,7,11
DVAZLH292T_S,7,7,7,12,10,9,11,3,4,16,26
DVAZLH292T_XL,2,2,2,2,4,2,4,2,2,4,8
DVAZLH292T_XS,5,4,9,13,19,10,8,2,3,8,29
DVAZLH292T_XXS,6,7,12,8,7,10,6,4,1,12,16
DY2XGBW1QT_L,37,46,44,65,65,62,36,16,21,81,155
DY2XGBW1QT_M,36,34,38,58,82,43,47,16,18,111,167
DY2XGBW1QT_S,19,20,20,30,29,23,12,11,7,33,88
DY2XGBW1QT_XL,12,16,17,35,32,17,15,8,8,21,54
DY2XGBW1QT_XS,7,11,11,15,19,18,11,5,5,21,47
DY2XGBW1QT_XXL,7,12,9,15,14,21,11,4,3,20,36
EC1T9WA177_L,13,7,15,20,18,21,11,2,7,25,23
EC1T9WA177_M,10,10,9,27,19,17,9,8,5,15,40
EC1T9WA177_S,7,7,7,9,14,8,5,3,3,12,19
EC1T9WA177_XL,13,11,8,14,27,8,9,7,3,13,19
EC1T9WA177_XS,1,5,2,9,6,4,3,1,1,9,20
EC1T9WA177_XXL,3,3,3,2,7,4,3,1,2,7,13
F58Y8I60TY_L,2,2,4,6,3,4,3,2,4,5,5
F58Y8I60TY_M,3,3,8,11,9,6,8,2,2,9,22
F58Y8I60TY_S,6,8,6,17,15,10,7,4,5,15,20
F58Y8I60TY_XL,2,0,2,7,2,7,2,2,2,2,3
F58Y8I60TY_XS,9,9,9,27,17,21,9,8,9,18,35
F58Y8I60TY_XXS,7,5,9,20,11,9,4,3,5,12,17
FBE5E6Q4S6_L,36,30,35,65,58,48,30,14,15,80,90
FBE5E6Q4S6_M,54,48,74,98,85,67,63,22,27,120,242
FBE5E6Q4S6_S,22,23,31,43,32,27,25,12,11,47,100
FBE5E6Q4S6_XL,23,13,18,33,32,16,16,10,10,39,86
FBE5E6Q4S6_XS,12,19,16,24,19,27,16,4,6,24,54
FBE5E6Q4S6_XXL,5,11,10,9,10,12,11,5,5,21,39
I8RO5VPQIV_L,28,19,25,37,53,38,22,10,10,41,84
I8RO5VPQIV_M,35,25,38,62,46,31,30,14,15,47,138
I8RO5VPQIV_S,19,8,19,31,40,20,14,6,6,17,90
I8RO5VPQIV_XL,12,19,16,26,22,22,14,6,8,30,61
I8RO5VPQIV_XS,6,10,12,24,15,15,11,5,6,20,50
I8RO5VPQIV_XXL,9,9,15,28,24,14,10,3,4,22,41
J7DERD76U8_onesize,20,52,48,86,120,25,26,20,26,51,85
KBG0WAZV9P_onesize,16,20,40,38,38,28,30,11,14,38,80
KBX5F1FCPW_onesize,27,30,38,44,49,45,34,4,23,57,111
KU65DK7JCX_L,10,7,18,17,28,14,5,6,2,24,30
KU65DK7JCX_M,23,20,30,44,32,20,17,6,11,38,64
KU65DK7JCX_S,35,31,44,43,58,53,40,12,15,99,71
KU65DK7JCX_XL,8,7,10,10,14,13,5,3,5,23,21
KU65DK7JCX_XS,32,38,29,44,41,33,23,14,16,53,85
KU65DK7JCX_XXS,23,20,29,44,31,26,15,6,12,50,46
KX2DPVZSC6_L,37,49,49,88,60,45,28,14,30,62,109
KX2DPVZSC6_M,24,29,44,57,58,32,24,10,20,47,81
KX2DPVZSC6_S,13,17,23,27,22,19,16,3,9,25,50
KX2DPVZSC6_XL,19,26,35,58,56,42,18,8,17,43,110
KX2DPVZSC6_XS,10,6,11,11,15,8,8,3,4,12,33
KX2DPVZSC6_XXL,8,11,12,24,17,12,12,5,8,16,35
LBQKVWQEL3_L,10,8,20,37,20,10,12,2,9,16,33
LBQKVWQEL3_M,12,28,24,29,26,22,12,12,11,33,53
LBQKVWQEL3_S,31,39,50,60,95,53,32,16,20,91,147
LBQKVWQEL3_XL,11,14,22,20,37,21,9,6,7,31,54
LBQKVWQEL3_XS,29,36,56,80,89,46,56,16,16,87,172
LBQKVWQEL3_XXS,20,22,38,48,55,36,23,11,16,43,84
LK5NB8UR9Y_L,44,48,92,115,141,86,62,20,28,117,245
LK5NB8UR9Y_M,69,72,110,162,161,91,68,36,32,163,315
LK5NB8UR9Y_S,45,25,71,102,62,50,34,9,18,60,92
LK5NB8UR9Y_XL,23,21,27,51,72,33,22,16,16,35,72
LK5NB8UR9Y_XS,17,13,28,34,30,17,12,9,16,33,84
LK5NB8UR9Y_XXL,14,17,15,31,37,20,12,11,14,35,38
LLP7L9LQTC_L,19,23,28,50,40,44,28,5,11,42,98
LLP7L9LQTC_M,34,49,34,94,79,40,34,13,12,85,133
LLP7L9LQTC_S,9,14,24,25,25,28,20,6,12,39,69
LLP7L9LQTC_XL,7,13,13,17,21,16,13,3,5,14,34
LLP7L9LQTC_XS,8,10,7,18,17,12,14,4,6,19,40
LLP7L9LQTC_XXL,3,6,7,14,19,6,7,3,6,8,24
LVTGQBBF4L_L,64,73,91,122,140,76,63,34,30,109,228
LVTGQBBF4L_M,62,97,121,165,161,113,88,33,40,150,272
LVTGQBBF4L_S,50,51,47,52,77,51,38,23,23,69,106
LVTGQBBF4L_XL,23,42,38,56,67,36,29,11,16,57,82
LVTGQBBF4L_XS,14,13,27,26,37,25,26,10,5,50,56
LVTGQBBF4L_XXL,18,14,23,42,38,18,16,9,9,47,75
MI29EELZW7_L,0,3,4,5,8,2,0,2,2,6,6
MI29EELZW7_M,4,2,6,9,5,4,5,1,3,5,15
MI29EELZW7_S,6,10,7,21,13,13,11,5,4,17,19
MI29EELZW7_XL,3,5,10,6,11,6,8,3,1,9,21
MI29EELZW7_XS,10,10,13,21,17,22,18,12,4,28,34
MI29EELZW7_XXS,7,3,8,19,6,11,10,7,4,15,26
OK2HOMDWXP_L,6,5,14,15,23,10,7,5,3,10,22
OK2HOMDWXP_M,9,6,18,25,21,18,10,6,6,20,36
OK2HOMDWXP_S,27,19,53,56,46,22,23,10,12,51,69
OK2HOMDWXP_XL,9,4,13,11,13,8,7,4,6,10,20
OK2HOMDWXP_XS,46,25,50,70,66,61,44,21,22,88,115
OK2HOMDWXP_XXS,25,19,42,60,52,30,22,10,16,36,89
PQ8JXR05Z9_L,16,20,20,46,33,19,18,9,10,30,89
PQ8JXR05Z9_M,20,21,38,48,50,25,19,10,17,21,99
PQ8JXR05Z9_S,10,16,16,29,33,19,20,6,10,28,62
PQ8JXR05Z9_XL,6,5,7,16,14,11,10,4,9,11,20
PQ8JXR05Z9_XS,11,11,11,21,14,11,10,5,5,15,45
PQ8JXR05Z9_XXL,8,4,14,15,10,5,8,3,5,10,24
PUZ9FHPM0L_L,32,25,36,58,55,45,39,20,18,64,116
PUZ9FHPM0L_M,16,12,25,16,47,24,22,10,11,35,72
PUZ9FHPM0L_S,11,8,19,15,16,15,7,4,2,20,22
PUZ9FHPM0L_XL,11,9,14,34,31,16,12,5,7,26,56
PUZ9FHPM0L_XS,4,6,7,10,13,7,6,4,3,11,20
PUZ9FHPM0L_XXL,3,5,8,6,7,6,5,2,1,10,22
Q1NB6EV307_L,17,23,40,37,47,26,18,15,7,51,74
Q1NB6EV307_M,8,18,16,35,28,20,24,4,11,25,88
Q1NB6EV307_S,9,18,13,17,23,14,9,5,3,19,36
Q1NB6EV307_XL,12,16,20,23,27,19,16,5,5,31,50
Q1NB6EV307_XS,5,4,5,9,11,8,12,4,5,10,18
Q1NB6EV307_XXL,11,8,9,21,42,13,4,9,2,11,27
QSCW4SWQBC_L,75,78,107,135,149,114,87,38,33,164,293
QSCW4SWQBC_M,67,72,108,110,132,103,79,33,42,147,277
QSCW4SWQBC_S,25,37,87,63,68,56,28,13,21,88,114
QSCW4SWQBC_XL,24,31,52,54,56,50,20,9,8,50,84
QSCW4SWQBC_XS,17,20,40,26,32,45,19,5,6,41,44
QSCW4SWQBC_XXL,13,15,25,23,47,37,17,11,12,27,54
R1GQQ0CSBL_L,30,50,45,66,68,26,21,14,13,86,134
R1GQQ0CSBL_M,18,27,33,42,58,21,26,9,13,49,85
R1GQQ0CSBL_S,19,19,21,27,27,21,24,10,12,47,72
R1GQQ0CSBL_XL,21,10,24,32,37,16,22,7,8,32,48
R1GQQ0CSBL_XS,10,8,12,19,14,3,7,3,4,16,30
R1GQQ0CSBL_XXL,21,18,23,35,35,10,17,7,7,31,54
SUSBYBGRMB_L,25,24,38,73,42,34,27,16,16,62,101
SUSBYBGRMB_M,28,20,34,45,43,27,23,13,17,42,123
SUSBYBGRMB_S,6,13,16,28,15,19,11,7,8,27,30
SUSBYBGRMB_XL,19,22,21,39,36,24,22,9,12,34,110
SUSBYBGRMB_XS,8,6,7,11,9,7,6,2,2,6,26
SUSBYBGRMB_XXL,8,12,7,15,11,10,8,3,3,16,25
TU089AL40Z_L,5,8,11,14,13,9,12,3,4,14,34
TU089AL40Z_M,5,8,13,16,16,9,14,4,5,19,33
TU089AL40Z_S,7,9,12,16,16,10,12,4,4,15,38
TU089AL40Z_XL,2,1,3,3,5,6,3,1,4,4,11
TU089AL40Z_XS,8,6,8,20,10,9,10,3,6,10,30
TU089AL40Z_XXS,5,6,11,17,11,9,12,3,5,14,33
UKDVICMCMI_L,5,4,6,9,8,7,5,3,3,9,16
UKDVICMCMI_M,7,6,11,13,14,10,9,2,5,13,24
UKDVICMCMI_S,11,7,18,23,26,13,10,5,5,22,58
UKDVICMCMI_XL,3,1,5,4,7,4,1,1,2,4,12
UKDVICMCMI_XS,14,10,15,26,18,12,12,8,7,29,53
UKDVICMCMI_XXS,7,6,16,19,19,12,9,2,4,15,30
UXS9I3EAGC_L,5,3,6,5,11,9,5,4,1,10,14
UXS9I3EAGC_M,12,12,15,11,23,15,18,10,4,13,38
UXS9I3EAGC_S,16,27,47,47,36,32,32,11,14,50,100
UXS9I3EAGC_XL,7,7,5,7,12,7,8,3,5,4,22
UXS9I3EAGC_XS,29,29,55,62,58,40,27,9,17,41,117
UXS9I3EAGC_XXS,20,10,28,22,24,19,12,5,8,23,55
V11O1XZ2MQ_L,2,2,2,4,6,3,4,1,2,4,5
V11O1XZ2MQ_M,4,4,8,7,10,7,8,2,3,11,18
V11O1XZ2MQ_S,9,5,8,13,16,12,13,2,9,18,25
V11O1XZ2MQ_XL,2,2,2,2,2,0,4,0,2,4,4
V11O1XZ2MQ_XS,6,8,13,17,13,9,13,4,5,17,38
V11O1XZ2MQ_XXS,5,6,11,14,11,9,12,3,4,14,32
WNRA980XXZ_L,6,9,9,14,12,8,6,3,3,19,20
WNRA980XXZ_M,11,10,14,26,20,11,13,6,12,27,41
WNRA980XXZ_S,8,6,19,15,15,8,7,3,4,16,26
WNRA980XXZ_XL,5,4,8,9,9,10,4,2,1,9,15
WNRA980XXZ_XS,4,5,6,8,7,5,4,1,3,7,9
WNRA980XXZ_XXL,3,7,10,6,12,6,7,2,2,11,21
