pack_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
P126,0,0,2,0,0,1,0,0,0,3,0
P127,3,5,2,5,4,3,2,0,1,4,7
P128,1,5,6,9,9,5,2,0,0,4,11
P129,0,0,1,2,0,0,0,0,0,1,0
P130,1,0,0,2,2,1,0,1,0,6,1
P131,0,0,3,0,0,2,0,0,0,1,0
P132,0,1,0,2,2,0,0,0,0,7,1
P133,1,0,7,0,0,0,2,0,1,5,10
P134,0,0,0,1,1,1,0,0,0,3,2
P135,0,0,0,2,0,0,0,0,0,0,0
P136,0,0,0,0,1,0,0,0,0,0,0
P137,0,1,1,0,0,3,0,0,1,0,0
P138,0,0,0,0,1,1,0,0,0,0,0
P139,0,0,0,0,0,1,1,2,0,0,0
P140,2,0,0,1,3,0,2,0,0,1,1
P141,0,0,0,2,1,2,0,0,0,0,0
P142,0,0,0,0,1,0,0,1,0,0,0
P143,0,0,0,0,0,3,0,0,0,0,3
P144,0,0,0,0,0,0,0,0,0,1,4
P145,1,1,0,0,0,1,0,0,0,1,1
P146,2,0,0,1,4,1,0,0,1,4,1
P147,0,0,0,0,0,0,0,0,1,0,0
P148,0,1,2,2,1,1,0,1,0,3,2
P149,0,1,1,0,0,0,1,0,1,0,0
P150,0,0,2,0,0,0,0,0,0,0,0
P151,0,0,0,0,0,0,2,0,0,0,1
P152,0,0,2,1,0,0,0,0,0,0,0
P153,1,0,0,0,0,2,2,1,1,1,0
P154,4,0,0,0,0,1,0,0,0,0,1
P155,0,0,0,0,1,0,0,0,0,0,1
P156,0,0,0,0,0,0,0,0,0,0,1
P157,0,1,0,1,2,1,2,0,0,1,1
P158,1,0,1,2,4,2,2,0,1,7,6
P159,0,0,0,0,1,2,1,0,0,2,0
P160,0,0,0,0,4,0,0,0,0,0,2
P161,0,0,0,0,0,2,1,0,0,0,0
P162,0,0,0,0,0,1,0,0,1,0,0
P163,0,1,6,3,1,0,1,0,0,0,6
P164,1,1,1,2,2,2,0,0,0,1,5
P165,0,0,0,0,0,0,0,0,0,2,2
P166,2,3,0,4,4,10,0,0,2,6,22
P167,0,1,1,1,3,0,2,2,1,1,4
P168,0,0,0,0,0,2,0,0,0,0,0
P169,1,1,2,0,3,1,2,0,1,2,2
P170,0,0,0,0,0,0,0,1,0,0,4
P171,0,0,1,0,0,0,0,0,0,0,2
P172,0,2,0,0,0,0,0,0,0,0,0
P173,2,0,0,0,3,0,4,0,0,0,5
P174,0,0,0,0,1,1,0,1,0,1,2
P175,0,0,1,0,0,1,0,0,0,1,0
P176,0,0,0,0,0,0,0,0,0,1,1
P177,0,0,1,0,0,0,0,0,0,1,0
P178,0,0,1,0,0,2,2,0,0,0,0
P179,1,0,0,0,0,0,0,0,0,0,0
P180,0,0,1,0,0,0,0,0,0,0,0
P181,0,0,1,1,0,0,1,0,0,1,2
P182,1,0,0,1,2,0,0,0,0,0,0
P183,0,0,0,0,0,1,0,0,0,0,0
P184,0,3,4,4,2,3,6,1,1,5,5
P185,0,0,0,1,0,0,0,1,0,0,2
P186,0,0,1,1,0,0,0,0,0,0,0
P187,0,2,0,0,1,0,0,0,0,0,0
P188,0,0,0,0,0,1,0,0,0,0,0
P189,0,1,0,0,0,0,0,0,0,0,0
