restart,iteration,operator,current_cost,restart_best_cost,global_best_cost,temperature,pack_types_current,pack_types_best,shortage_units_best,overstock_units_best,elapsed_seconds
1,19250,mutate_pack_content,293101,293101,278683,0.329653,3390,3384,0,17235,1086.2
1,19500,split_pack,292646,292646,277896,0.290909,3421,3420,0,17151,1106.14
1,19750,merge_packs,292189,292189,277896,0.256718,3451,3450,0,17150,1121.56
1,20000,add_curve_pack,292189,292189,277896,0.226546,3478,3450,0,17150,1129.53
2,1,reallocate,785530,785530,781522,5000,494,494,0,0,0.122715
2,250,reallocate,590391,590391,437570,4414.55,551,551,0,5315,5.66149
2,500,add_curve_pack,446458,444644,384443,3895.71,605,591,0,14195,11.4999
2,750,remove_pack,434544,433787,355029,3437.84,644,641,0,18265,16.9196
2,1000,reallocate,395259,395259,349103,3033.79,700,700,0,21077,22.5244
2,1250,reallocate,379748,378940,348965,2677.23,747,732,0,23943,29.1619
2,1500,mutate_pack_content,373780,373623,348730,2362.57,821,813,0,23922,34.8983
2,1750,merge_packs,375903,372656,347000,2084.9,869,821,0,23700,40.3216
2,2000,add_curve_pack,371087,369072,347000,1839.86,921,906,0,24739,46.5168
2,2250,mutate_pack_content,366832,366825,347000,1623.62,981,982,0,24627,53.5243
2,2500,split_pack,362035,360485,347000,1432.79,1030,1025,0,24173,59.716
2,2750,remove_pack,363278,360485,347000,1264.4,1067,1025,0,24173,67.0465
2,3000,split_pack,365273,360485,346338,1115.79,1119,1025,0,24173,74.0918
2,3250,remove_pack,365582,360485,346246,984.651,1159,1025,0,24173,80.9565
2,3500,remove_pack,365863,360485,343587,868.924,1195,1025,0,24173,88.3322
2,3750,mutate_pack_content,363368,360485,343587,766.799,1234,1025,0,24173,96.0493
2,4000,reallocate,362228,360485,343587,676.676,1259,1025,0,24173,104.99
2,4250,mutate_pack_content,361234,360099,342795,597.146,1293,1290,0,24737,113.437
2,4500,reallocate,361790,360011,338644,526.963,1332,1303,0,24664,122.623
2,4750,mutate_pack_content,358733,358022,338644,465.029,1359,1346,0,24550,132.482
2,5000,reallocate,358745,357565,338644,410.374,1399,1383,0,24318,142.362
2,5250,add_curve_pack,355980,355632,338644,362.142,1442,1438,0,23864,152.773
2,5500,add_curve_pack,357322,354965,338299,319.579,1484,1459,0,23644,163.693
2,5750,reallocate,354533,354533,338299,282.019,1532,1530,0,23582,175.478
2,6000,remove_pack,353882,353196,337435,248.873,1574,1563,0,23429,188.206
2,6250,merge_packs,352381,352381,335637,219.623,1618,1617,0,23370,201.764
2,6500,add_curve_pack,350485,349695,332128,193.81,1658,1639,0,23241,213.451
2,6750,add_curve_pack,349963,349695,329010,171.032,1689,1639,0,23241,224.81
2,7000,add_curve_pack,348932,348932,327812,150.93,1722,1722,0,22955,236.222
2,7250,add_curve_pack,346280,346280,323928,133.191,1773,1771,0,22816,248.248
2,7500,mutate_pack_content,344616,344616,323605,117.537,1801,1801,0,22820,261.957
2,7750,remove_pack,342752,342743,318043,103.723,1845,1842,0,22622,274.363
2,8000,add_curve_pack,342791,342442,317295,91.5324,1891,1876,0,22591,286.516
2,8250,merge_packs,341081,340864,315758,80.7745,1931,1919,0,22493,298.731
2,8500,merge_packs,338841,338824,315213,71.281,1953,1947,0,22288,310.858
2,8750,add_curve_pack,335575,335575,312458,62.9033,1996,1990,0,22238,323.934
2,9000,add_curve_pack,334949,334807,310814,55.5103,2021,2014,0,22146,336.946
2,9250,add_curve_pack,333816,333746,307634,48.9861,2051,2050,0,22023,350.13
2,9500,split_pack,332370,332356,306552,43.2287,2069,2066,0,22044,363.432
