sku_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
BH075SYWYT_S,31,18,29,63,48,27,28,7,10,50,68
BH075SYWYT_XL,12,7,13,9,14,9,10,1,6,8,33
BH075SYWYT_XS,26,31,34,49,41,40,32,8,11,50,80
BH075SYWYT_XXS,14,12,20,32,19,18,22,8,6,27,37
D9J7V1UG3B_L,29,34,45,54,64,33,35,15,16,66,192
D9J7V1UG3B_M,32,43,62,86,92,67,42,25,21,71,168
D9J7V1UG3B_S,19,22,31,41,38,45,18,9,12,50,87
D9J7V1UG3B_XL,10,13,18,25,22,20,12,8,9,21,53
D9J7V1UG3B_XS,8,13,15,26,25,16,15,11,6,22,48
D9J7V1UG3B_XXL,4,5,12,17,23,18,8,4,5,12,34
DVAZLH292T_L,2,3,4,4,4,3,4,2,3,5,11
DVAZLH292T_M,4,6,7,8,9,4,5,5,8,6,23
DVAZLH292T_S,9,5,8,12,12,8,14,3,9,12,22
DVAZLH292T_XL,2,2,2,2,4,1,2,1,4,3,10
DVAZLH292T_XS,4,10,13,12,16,12,12,9,13,16,43
DVAZLH292T_XXS,4,7,6,7,8,8,5,2,7,8,20
DY2XGBW1QT_L,24,33,37,55,63,50,29,17,28,56,128
DY2XGBW1QT_M,31,20,33,49,64,39,43,12,21,89,137
DY2XGBW1QT_S,15,16,15,32,30,19,14,8,8,32,79
DY2XGBW1QT_XL,9,12,10,18,22,14,10,7,9,27,44
DY2XGBW1QT_XS,6,9,7,12,16,15,8,6,8,20,43
DY2XGBW1QT_XXL,6,4,9,12,12,13,9,2,3,17,30
EC1T9WA177_L,14,11,12,16,25,18,9,8,5,19,19
EC1T9WA177_M,8,10,9,20,15,9,11,5,2,15,38
EC1T9WA177_S,7,6,7,10,18,5,5,4,3,15,16
EC1T9WA177_XL,8,9,7,12,19,7,8,5,5,18,16
EC1T9WA177_XS,4,3,2,9,7,2,3,1,3,6,6
EC1T9WA177_XXL,4,4,3,4,9,4,4,2,3,16,11
F58Y8I60TY_L,5,3,5,6,3,3,3,2,2,5,8
F58Y8I60TY_M,2,5,6,9,9,5,3,2,2,5,8
F58Y8I60TY_S,5,8,4,9,12,6,5,2,3,9,14
F58Y8I60TY_XL,3,1,3,6,2,3,3,1,2,7,5
F58Y8I60TY_XS,7,4,12,22,10,15,8,7,6,16,28
F58Y8I60TY_XXS,6,4,8,16,9,5,6,3,6,8,14
FBE5E6Q4S6_L,28,23,30,52,47,39,20,15,11,64,85
FBE5E6Q4S6_M,40,41,57,79,81,45,46,29,22,99,194
FBE5E6Q4S6_S,19,19,24,30,34,18,19,6,10,35,82
FBE5E6Q4S6_XL,19,16,16,32,31,19,18,6,7,29,75
FBE5E6Q4S6_XS,11,16,14,16,15,12,12,4,7,10,37
FBE5E6Q4S6_XXL,12,10,14,21,21,11,13,3,6,23,52
I8RO5VPQIV_L,24,12,21,31,43,31,18,8,8,32,85
I8RO5VPQIV_M,28,20,24,50,37,25,24,12,12,35,87
I8RO5VPQIV_S,17,12,16,27,28,16,15,6,6,22,84
I8RO5VPQIV_XL,7,9,12,20,20,14,6,3,4,17,36
I8RO5VPQIV_XS,10,15,10,32,19,10,4,5,3,14,39
I8RO5VPQIV_XXL,15,13,17,23,27,8,16,3,9,26,67
J7DERD76U8_onesize,20,43,41,68,96,20,21,14,21,41,69
KBG0WAZV9P_onesize,20,16,32,35,33,22,24,11,12,31,69
KBX5F1FCPW_onesize,23,16,18,36,40,37,26,6,12,38,89
KU65DK7JCX_L,11,15,15,28,22,16,11,7,7,22,47
KU65DK7JCX_M,19,23,24,28,29,18,17,12,9,33,64
KU65DK7JCX_S,32,28,33,37,42,43,32,10,20,70,98
KU65DK7JCX_XL,4,10,9,15,10,8,6,10,6,18,25
KU65DK7JCX_XS,26,31,26,29,32,24,20,11,13,35,73
KU65DK7JCX_XXS,18,23,28,38,33,17,23,15,13,40,59
KX2DPVZSC6_L,30,56,40,68,64,34,40,27,39,49,139
KX2DPVZSC6_M,17,25,35,48,50,25,23,11,20,28,92
KX2DPVZSC6_S,15,18,24,26,29,15,18,7,17,21,59
KX2DPVZSC6_XL,15,16,32,32,45,21,19,6,18,35,88
KX2DPVZSC6_XS,8,5,11,16,16,10,8,4,2,15,26
KX2DPVZSC6_XXL,13,15,16,24,23,13,13,8,11,19,43
LBQKVWQEL3_L,8,9,11,15,15,7,9,1,7,16,38
LBQKVWQEL3_M,13,15,18,24,33,18,11,8,7,25,46
LBQKVWQEL3_S,28,45,37,65,68,47,26,24,21,66,123
LBQKVWQEL3_XL,6,7,10,19,12,11,6,3,5,11,29
LBQKVWQEL3_XS,28,25,32,64,79,46,34,10,22,70,134
LBQKVWQEL3_XXS,29,17,31,40,51,29,23,9,13,27,61
LK5NB8UR9Y_L,36,31,65,77,114,69,51,29,24,81,194
LK5NB8UR9Y_M,68,59,72,130,125,62,57,22,34,111,252
LK5NB8UR9Y_S,36,21,44,83,48,40,29,13,14,44,68
LK5NB8UR9Y_XL,25,18,30,47,61,25,18,12,10,47,72
LK5NB8UR9Y_XS,22,14,25,47,37,32,21,12,8,39,79
LK5NB8UR9Y_XXL,11,12,17,23,39,12,14,11,9,19,33
LLP7L9LQTC_L,16,16,23,40,39,35,23,4,11,35,79
LLP7L9LQTC_M,26,40,33,70,63,46,29,11,13,66,102
LLP7L9LQTC_S,19,18,27,33,35,24,23,6,10,32,58
LLP7L9LQTC_XL,12,11,15,20,22,15,12,5,6,21,38
LLP7L9LQTC_XS,9,9,13,16,19,13,9,4,5,18,32
LLP7L9LQTC_XXL,9,7,11,12,14,12,7,3,4,16,28
LVTGQBBF4L_L,30,62,77,87,104,64,55,27,18,70,163
LVTGQBBF4L_M,49,94,95,133,129,67,75,32,32,86,221
LVTGQBBF4L_S,37,32,42,50,62,38,28,12,14,55,93
LVTGQBBF4L_XL,19,34,43,39,32,20,20,8,9,44,67
LVTGQBBF4L_XS,11,17,29,26,25,25,21,12,9,25,45
LVTGQBBF4L_XXL,13,12,20,24,27,24,14,9,5,25,59
MI29EELZW7_L,4,2,6,5,4,7,5,2,1,6,5
MI29EELZW7_M,4,4,6,6,4,9,6,3,2,6,7
MI29EELZW7_S,5,10,14,17,13,12,8,3,7,18,25
MI29EELZW7_XL,2,2,2,5,5,3,2,1,1,2,2
MI29EELZW7_XS,7,9,11,23,14,16,11,5,4,23,25
MI29EELZW7_XXS,6,8,10,15,9,13,8,4,4,14,22
OK2HOMDWXP_L,6,8,9,19,14,11,8,3,5,10,20
OK2HOMDWXP_M,9,8,16,23,17,14,10,5,7,21,32
OK2HOMDWXP_S,20,14,43,45,41,22,20,8,16,40,42
OK2HOMDWXP_XL,4,6,9,7,5,7,3,2,3,4,8
OK2HOMDWXP_XS,24,25,40,47,54,49,36,12,24,71,93
OK2HOMDWXP_XXS,11,17,29,48,42,21,18,7,13,38,72
PQ8JXR05Z9_L,12,16,18,36,37,19,18,7,8,21,60
PQ8JXR05Z9_M,16,19,31,50,43,21,24,12,12,17,80
PQ8JXR05Z9_S,12,12,14,24,27,18,16,5,8,16,53
PQ8JXR05Z9_XL,5,7,10,15,12,9,10,5,6,8,19
PQ8JXR05Z9_XS,9,10,10,17,20,14,12,3,4,14,43
PQ8JXR05Z9_XXL,5,5,6,14,11,7,7,3,4,9,26
PUZ9FHPM0L_L,26,20,26,47,46,29,25,7,11,23,93
PUZ9FHPM0L_M,12,13,21,16,38,20,18,4,8,26,53
PUZ9FHPM0L_S,9,10,15,14,17,11,9,4,5,17,39
PUZ9FHPM0L_XL,12,16,15,32,25,13,14,11,13,21,45
PUZ9FHPM0L_XS,4,8,10,15,18,8,8,3,2,7,47
PUZ9FHPM0L_XXL,3,4,7,4,8,5,5,2,1,7,19
Q1NB6EV307_L,22,18,32,30,37,22,15,8,7,40,64
