pack_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
P126,0,0,0,3,0,2,0,0,1,0,6
P127,0,0,0,0,0,0,1,0,0,0,0
P128,0,0,0,3,4,0,0,0,1,8,0
P129,0,0,4,2,3,3,1,1,1,2,2
P130,2,1,2,3,1,0,0,1,1,0,2
P131,1,0,0,1,1,0,2,0,1,1,2
P132,0,0,0,2,1,1,0,1,0,1,1
P133,0,0,0,1,0,0,0,0,0,0,1
P134,1,1,2,2,2,1,2,1,1,2,2
P135,0,0,1,0,0,1,1,0,0,3,0
P136,0,1,0,0,1,0,0,0,0,1,1
P137,0,2,2,6,6,0,2,0,0,3,10
P138,1,3,3,5,7,1,3,1,2,4,9
P139,2,4,6,14,7,4,0,0,2,8,9
P140,0,0,0,2,1,1,0,0,0,1,1
P141,0,1,0,1,2,0,0,0,0,0,0
P142,0,0,1,0,0,1,0,0,0,1,0
P143,0,0,0,0,0,0,1,0,0,0,0
P144,0,1,1,0,2,1,0,1,0,1,1
P145,0,4,0,1,2,0,0,1,0,0,2
P146,3,0,0,9,3,4,1,0,1,0,0
P147,0,0,1,0,0,0,1,0,0,0,4
P148,0,0,0,0,0,0,0,0,0,3,1
P149,0,0,0,2,5,4,0,0,0,0,8
P150,0,0,0,0,3,2,0,0,0,0,7
P151,7,8,9,9,12,9,5,3,3,14,26
P152,2,0,1,0,1,0,0,1,0,0,0
P153,0,0,1,0,0,1,0,0,0,0,1
P154,0,0,0,0,0,0,0,0,1,2,0
P155,1,0,0,0,0,0,0,0,0,3,0
P156,1,0,0,0,0,0,0,0,0,0,0
P157,0,0,0,0,0,0,0,0,0,3,0
P158,1,0,0,1,0,2,0,1,0,0,0
P159,3,2,2,7,3,4,0,1,1,6,5
P160,0,0,1,0,0,0,0,0,1,0,1
P161,1,1,0,0,0,0,1,0,1,0,2
P162,0,0,0,0,0,0,0,0,0,5,0
P163,0,1,1,0,0,1,0,0,0,0,3
P164,0,0,3,0,1,0,1,0,0,3,0
P165,0,0,0,0,0,1,0,0,1,0,0
P166,2,0,0,3,3,0,0,0,0,3,0
P167,0,0,0,0,0,1,0,0,0,0,3
P168,0,0,0,0,0,0,0,0,1,4,0
P169,2,0,0,0,0,0,1,0,0,0,0
P170,0,0,0,0,0,0,1,0,1,1,0
P171,0,0,0,2,2,0,0,0,0,0,0
P172,0,0,2,1,1,1,2,1,0,3,4
P173,1,2,0,1,4,0,1,1,1,4,0
P174,0,0,0,1,0,1,1,0,0,0,1
P175,0,1,0,0,0,0,0,0,0,0,0
P176,2,0,1,1,1,2,2,0,1,4,6
P177,0,0,1,0,1,1,1,0,0,0,2
P178,2,4,3,1,3,3,4,0,2,3,2
P179,1,0,0,0,0,0,0,0,0,2,1
P180,0,1,2,2,2,1,0,0,1,0,3
P181,0,0,0,0,0,1,0,0,0,0,1
P182,0,0,1,0,2,0,0,0,0,1,5
P183,0,0,2,0,0,0,0,0,3,0,1
P184,0,0,0,0,0,0,0,0,0,1,2
P185,0,0,0,0,0,0,0,0,0,1,0
P186,0,2,0,0,1,2,1,0,1,0,2
P187,0,1,1,4,0,0,2,1,0,4,7
P188,3,1,1,6,0,2,2,0,1,0,0
P189,0,1,0,0,1,0,2,0,0,0,0
P190,1,0,0,3,1,0,1,0,0,2,3
P191,0,0,0,5,1,3,1,1,0,1,0
P192,3,2,4,2,5,1,3,1,1,4,9
P193,0,0,0,0,0,0,0,0,0,0,2
P194,1,2,2,3,4,3,1,1,3,2,7
P195,0,1,0,0,1,4,1,0,0,3,0
P196,2,2,3,4,4,1,1,0,1,3,3
P197,0,1,1,1,1,1,1,0,1,1,4
P198,0,0,0,0,0,1,0,0,0,0,0
P199,0,1,0,0,1,0,0,0,0,2,1
P200,0,0,2,1,1,0,1,0,1,0,3
P201,2,0,2,3,1,1,2,0,0,1,0
P202,1,0,0,0,2,1,1,0,0,0,3
P203,0,0,0,1,2,0,0,0,1,2,0
P204,1,0,1,0,0,0,0,0,0,2,0
P205,1,0,0,3,0,0,0,0,2,2,2
P206,1,1,0,3,1,0,0,0,0,0,1
P207,1,2,0,0,2,1,0,0,0,0,1
P208,0,0,1,2,0,4,0,1,1,0,0
P209,2,0,0,0,1,0,0,0,1,4,2
P210,0,2,1,4,2,1,1,3,0,3,4
P211,0,0,0,0,1,0,1,0,1,2,3
P212,0,0,0,0,0,0,0,0,0,1,0
P213,1,1,2,1,0,0,1,0,0,1,1
P214,1,1,3,1,1,3,2,1,0,3,0
P215,0,0,0,0,0,0,0,0,0,0,1
P216,0,3,3,1,6,3,0,0,1,0,2
P217,0,1,2,2,2,2,1,0,2,2,2
P218,0,0,1,2,4,0,0,0,0,0,0
P219,5,3,5,2,3,2,2,1,3,2,10
P220,1,1,0,0,0,1,0,0,1,2,2
P221,0,0,0,0,0,0,0,0,2,0,0
P222,0,0,2,0,1,0,1,0,0,0,1
P223,1,0,0,2,0,1,0,0,1,2,0
P224,1,1,1,1,2,0,1,0,1,2,5
P225,0,0,1,0,0,0,0,0,1,0,3
P226,1,1,2,0,0,2,0,0,1,4,0
P227,0,0,0,0,0,0,0,0,0,0,1
P228,1,2,0,0,0,1,0,0,0,1,0
P229,0,0,0,1,0,0,0,0,0,0,0
